	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	3640.0	0.5823269140210035	0.6089184015468192	0.7803322379261408	0.009050233005630494	0.09513271259472471	0.5907246486244621	0.5832630318488874	10.73273908996582	0.08305889533178198	0.011689714697535944	[0.7691126238800047]	0.7675234862472144	0.5774739060342848
Fold 2	3640.0	0.5639141302930812	0.652100939972868	0.807527671335706	0.00926323440362794	0.09624569810452797	0.5770512504844876	0.5662949961825927	13.598675308227538	0.08527130409578941	0.011788287662938133	[0.7688658613884026]	0.787207921688057	0.5987722892142537
Fold 3	3639.0	0.6002498790400177	0.5785708796186195	0.7606384684057331	0.008904123908300731	0.09436166545955371	0.5769208866977928	0.6009707295163969	4.526698448181152	0.08122634251211329	0.01166002601596341	[0.7807088326310876]	0.7769705523995994	0.5886954385510818
Fold 4	3639.0	0.611968562993338	0.5692255565324482	0.7544703814812402	0.008681267756207573	0.0931733210538702	0.5713789395135522	0.6119715015023289	4.9837957382202145	0.07912965028912829	0.01125335159134997	[0.7857090823228186]	0.7821306997851705	0.5932726567415284
Fold 5	3639.0	0.5955885871718439	0.5928918693119801	0.7699947203143539	0.008638870330480528	0.09294552345584228	0.5673543742772936	0.5956801157584304	12.827360000610351	0.0794762040994247	0.011126987336072964	[0.7848943116667344]	0.785862349409768	0.598595741186172
Mean	3639.4	0.5908096147038568	0.6003415293965471	0.7745926958926349	0.008907545880849455	0.09437178413370377	0.5766860199195177	0.5916360749617272	9.333853717041015	0.08163247926564753	0.011503673460772084	[0.77785814]	0.779939001905962	0.5913620063454641
SD	0.4472135954999579	0.015027649815525948	0.026615351815253725	0.017021674083531335	0.000212239641195292	0.001122586400189792	0.0072170673235028475	0.01431373314261749	3.5209353833558157	0.002095802609937641	0.0002396581531466303	0.006789901599564091	0.006527933588146822	0.007198144563387425
Test set	15485.0	-0.48658185865999815	2.0727958483943736	1.439720753616608	0.03311847275746572	0.1819848146342593	1.1114869771900122	-0.40319188421447594	25.130836334228515	0.3011566124995429	0.046186117473435484	[0.3910743838901357]	0.3943268931788778	0.27129926011557387
