	MCC	0:1	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC 1
Fold 1	0.667192301293225	6007:20684	0.8866284515379717	0.8246727686389987	0.9373428737188165	0.712002663559181	0.9180793635760962	0.7674502063520545	0.9276111190852112	0.9287769471039026
Fold 2	0.6634339940962809	6044:20647	0.8842306395414185	0.8250599837481176	0.9332106359277377	0.7169093315684977	0.9184422517755851	0.758578431372549	0.9257675491279488	0.9294514906378907
Fold 3	0.6482666401868606	6044:20647	0.8808587164212656	0.8111199647075609	0.9385867196202838	0.6836532097948379	0.9101967967685877	0.7651851851851852	0.9241737803424102	0.9226171906014489
Fold 4	0.6496516437094907	5915:20776	0.8794350155483122	0.823997534706637	0.9235656526761649	0.724429416737109	0.9217023729464886	0.7296100800272434	0.9226330720777035	0.9234231390924764
Fold 5	0.6593032016028437	5971:20720	0.8832565284178188	0.8249059644135845	0.9305019305019305	0.7193099983252387	0.9200229051345676	0.7489102005231038	0.9252327478644783	0.9262931590525377
Mean	0.6575695561777402	-	0.8828818702933573	0.8219512432429796	0.9326415624889867	0.7112609239969728	0.9176887380402651	0.7539468206920271	0.9250836536995506	0.9261123852976512
SD	0.006821925020429978	-	0.0023083319172379443	0.004954883931898968	0.004911232519180544	0.013120196693952006	0.0036149494339802186	0.012568071763874379	0.0015116901751616029	0.0025076756953871654
Test set	0.17588929912190818	43741:29959	0.5287788331071913	0.5777849416920178	0.8398477919823759	0.31572209140165974	0.4567087780439991	0.7421539122957868	0.5916685282947879	0.6716824554793672
