	MCC	0:1	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC 1
Fold 1	0.6610651282723641	8438:17469	0.8506967228934265	0.8314533294891892	0.8866563626996393	0.776250296278739	0.8913506358980261	0.7678780773739742	0.8889973024163461	0.9183366753860029
Fold 2	0.6552866506860372	8394:17512	0.8520033968964719	0.8187026088268361	0.9133165829145728	0.7240886347390993	0.8735117422173676	0.8001579778830964	0.892970800066998	0.9129317894190776
Fold 3	0.6524495345442108	8459:17447	0.8492241179649502	0.820826458132472	0.9026766779389007	0.7389762383260433	0.8770395945870691	0.786388224933954	0.8896734832222347	0.9132835029674896
Fold 4	0.6582855243144287	8497:17409	0.8507681618157956	0.8256458356905361	0.8986731001206273	0.7526185712604448	0.881557446328957	0.783797033950239	0.8900329957901923	0.9143514398073129
Fold 5	0.6643900473279873	8521:17385	0.8539334517100285	0.826337954679091	0.9069887834339948	0.7456871259241873	0.8791747978812378	0.7971396311629657	0.8928652321630804	0.9166855427000515
Mean	0.6582953770290056	-	0.8513251702561344	0.8245932373636249	0.901662301421547	0.7475241733057028	0.8805268433825315	0.787072189060846	0.8909079627317704	0.9151177900559869
SD	0.0038306425406029894	-	0.0014365902187114838	0.00408454395770624	0.008158187797234156	0.015688687192732507	0.005498745347928078	0.01042592626543389	0.0015289610387234046	0.0018951504659702057
Test set	0.6688984716411999	26068:53237	0.8554946094193304	0.8300829713963542	0.9042583165843304	0.755907626208378	0.8832541328000294	0.7944923796468026	0.893632819751253	0.919947024666803
