	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	25907.0	0.6333626905777376	0.5461836132614263	0.7390423622915173	0.009050487817580352	0.09513405182993286	0.5022678868005196	0.6432828144944542	42.18849468994141	0.07799117317309374	0.01245615377328233	[0.8093661308277678]	0.807989487795913	0.6259564755828513
Fold 2	25906.0	0.20850306806011865	1.1664852074595358	1.0800394471775259	0.009679107658749292	0.09838245605162178	0.5053072477528592	0.23558632575818228	111.1170244140625	0.09037119119444717	0.012897260270974105	[0.6694412525231676]	0.8217532831366672	0.6458566010772666
Fold 3	25906.0	0.6195610182513047	0.5607745915320153	0.7488488442483003	0.009935813698198659	0.09967855184641608	0.5359540472944335	0.6438484684079214	27.82506332397461	0.08536950850149044	0.013766164951466282	[0.8032867608665408]	0.7887400479809431	0.604338623015272
Fold 4	25906.0	0.7157002367129124	0.4145329024178454	0.6438422962324278	0.0077775692365026315	0.08819052804299694	0.45747011490445394	0.716029432027508	6.304498634338379	0.06529174103009698	0.010594452250509966	[0.8496476908136287]	0.8288902571416377	0.6522460984706537
Fold 5	25906.0	0.6961494564572499	0.4477516696271343	0.6691424882841728	0.008216137314537224	0.0906429109999079	0.47252231808978046	0.6990666397613539	19.380467529296876	0.06938264221445244	0.011237959257013057	[0.8411272507711754]	0.8210020642941903	0.6431394605943589
Mean	25906.2	0.5746552940118647	0.6271455968595914	0.7761830876467888	0.008931823145113631	0.09440569975417511	0.49470432296840927	0.5875627360898841	41.363109718322754	0.07768125122271616	0.012190398100649147	[0.79457382]	0.8136750280698702	0.6343074517480805
SD	0.3651483716701107	0.17038439013999945	0.25140720874844513	0.14342655295390944	0.000755537421655044	0.004019431866795387	0.024998656161833763	0.16283786247322113	33.570600592026565	0.008588818335207103	0.0010414336497468846	0.059376258449086096	0.012939123236043138	0.01581693067177544
Test set	79305.0	0.6405567009120098	0.5291556937664005	0.7274308859035341	0.008642562503089864	0.09296538335902167	0.4882496603972072	0.6451034778589113	56.62325668334961	0.0742642333700626	0.011825441266682862	[0.8167408713576416]	0.8145541241674576	0.6342962732888379
