	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	25907.0	0.6896202711607812	0.46237607964022637	0.6799824112726934	0.008742061516371892	0.09349899206072701	0.4941106929845313	0.6896426174188277	4.437351226806641	0.07304990177904196	0.011886196384907143	[0.8320218499921617]	0.8096311486181238	0.6274116713603902
Fold 2	25906.0	0.5358335174901474	0.6840750908777927	0.8270883210865649	0.008842820455571438	0.09403627202080822	0.47993961902729726	0.5398308919938066	48.984114532470706	0.07845955044512103	0.011740676922514832	[0.7640783061347695]	0.8182682968895195	0.6409082285369121
Fold 3	25906.0	0.6531585359546888	0.5112511852291083	0.7150183111145534	0.008320010593821871	0.09121409207914022	0.47102735321819766	0.6547736343995858	41.31747817993164	0.07123995881835024	0.011237181986266973	[0.8169230770054919]	0.8231462325451082	0.6447929064852065
Fold 4	25906.0	0.7024941397529315	0.4337884995352594	0.6586262214148928	0.008110349355465285	0.09005747806520725	0.4666908988496894	0.7078246320435073	12.887911224365235	0.06829787378805136	0.011122714092433872	[0.8439972151694248]	0.8240288086063846	0.6472467764558338
Fold 5	25906.0	0.6283879847783467	0.5476044187019503	0.740002985603403	0.008623139989010447	0.09286086360254489	0.48117631035613834	0.6342750504230266	46.518021942138674	0.07419653073458667	0.011699745231465582	[0.8108710666923213]	0.819400618221683	0.6412251379786191
Mean	25906.2	0.641898889827379	0.5278190547968673	0.7241436500984214	0.008527676382048186	0.0923335395656855	0.4785889748871708	0.6452693652557508	30.82897542114258	0.07304876311303024	0.011537302923517682	[0.8135783]	0.8188950209761637	0.6403169441633925
SD	0.3651483716701107	0.05401898114721642	0.07979811198555319	0.05350256083436791	0.0002488898685048768	0.0013521135677688869	0.008642767812594696	0.053557795331810536	16.853108314386823	0.0030669396721981898	0.00027429655791847384	0.02494741461038438	0.004670765782282554	0.006268669630843478
Test set	79305.0	0.6209595487645483	0.558005708961418	0.7469977971596824	0.010107025986539047	0.1005337057236977	0.5359326426768377	0.6567519605745236	43.275003814697264	0.0859827254951858	0.014340658262117504	[0.8237732443349193]	0.8110203919631125	0.6308196476021913
