	MCC	0:1	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC 1
Fold 1	0.47785797190331186	2807:1258	0.7793357933579336	0.7360390472829963	0.6224165341812401	0.8496615603847524	0.649792531120332	0.833916083916084	0.6358099878197321	0.8313932973607318
Fold 2	0.5406445515685911	2812:1253	0.8066420664206642	0.7664390668654121	0.6616121308858739	0.8712660028449503	0.6960537363560033	0.8524704244954767	0.6783960720130933	0.8568800455010394
Fold 3	0.47286222218076174	2825:1240	0.7798277982779828	0.7325478161575792	0.6112903225806452	0.8538053097345133	0.6473099914602903	0.8334485141672425	0.6287847366238076	0.832918641164716
Fold 4	0.48243305614436816	2784:1281	0.7776137761377614	0.7400792248781932	0.6385636221701796	0.8415948275862069	0.6497220015885623	0.8349964362081255	0.6440944881889764	0.8356138455947671
Fold 5	0.49319054703086934	2790:1275	0.780319803198032	0.7481846932321315	0.6619607843137255	0.8344086021505376	0.6462480857580398	0.8437839797027908	0.654010073614878	0.8378400449785649
Mean	0.49339766976558047	-	0.7847478474784748	0.7446579696832625	0.6391686788263329	0.8501472605401921	0.6578252692566455	0.8397230876979439	0.6482190716520975	0.8389291749199638
SD	0.02241918935851162	-	0.010027932547567685	0.011020893182162157	0.018625215003797446	0.011405174135909437	0.01749383591692027	0.006762867236186153	0.015773807312626446	0.008439266692007808
Test set	0.5456286399932024	8540:3905	0.7995982322217758	0.7783729200838414	0.721382842509603	0.8353629976580796	0.6670613308074829	0.8676720992459256	0.6931594488188977	0.8627913232000048
