	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	1276.0	0.568866221917621	0.6257424370847	0.7910388341192233	0.0093336061483592	0.0966105902495125	0.5367107340968141	0.5705223081034961	12.47091520690918	0.08300618931142682	0.012060648151871954	[0.7784646939881755]	0.8213506897584697	0.6353487180204437
Fold 2	1275.0	0.4605523752270564	0.8132426889925136	0.9017996944956865	0.010492068992029051	0.10243080099281197	0.5615212726892209	0.4623528605476208	18.199988174438477	0.09671809666808472	0.01345271087648042	[0.7225061348020725]	0.8055659137260414	0.6171497606506816
Fold 3	1275.0	0.6087766350069345	0.5695514016917015	0.7546862935628958	0.008982414675831607	0.09477560169068623	0.5515116789948707	0.6219614735455881	7.995659133911133	0.08112018551686748	0.01202349394880449	[0.7963803140704155]	0.8103383696562088	0.6225378300142215
Fold 4	1275.0	0.6048444785080842	0.5489800760373338	0.7409318970305798	0.00850986148542396	0.09224891048366891	0.5360534499478807	0.608696132533652	9.28302001953125	0.07627948277074294	0.011225200283431816	[0.7926447242989216]	0.815127622449675	0.6243877828527258
Fold 5	1275.0	0.6733279914389062	0.4928915342743495	0.7020623435809312	0.008362284294963147	0.09144552638026175	0.5227536648380057	0.6790911067116091	4.169730815887451	0.07352272761632464	0.011267964204333883	[0.8262320503018107]	0.827441018379666	0.6438268415332272
Mean	1275.2	0.5832735404197205	0.6100816276161197	0.7781038125578632	0.009136047119321393	0.09550228595938828	0.5417101601133585	0.5885247762883932	10.423862670135497	0.08212933637668932	0.012006003492984512	[0.78324558]	0.8159647227940121	0.62865018661426
SD	0.3651483716701108	0.06389258246537623	0.10052304429753599	0.06215628487287191	0.0006942916262118015	0.0035777665114591624	0.012280684680924279	0.06579082727986524	4.300589331011762	0.0073361398220479	0.0007360491210839811	0.031147067426621336	0.0070852642524396724	0.008784360761273077
Test set	3904.0	0.7022732994096619	0.45411502987249963	0.6738805753785307	0.007751080866108194	0.08804022300124072	0.5086918480142217	0.7061118518716499	3.9986311721801755	0.06763565625960999	0.010351671439899544	[0.8418888360638828]	0.842187376429189	0.6555609797940001
