	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	4065.0	0.587811659088071	0.6092666919732473	0.7805553740595521	0.009556362633369626	0.0977566500723589	0.5929755151004955	0.5974825086345815	4.08477481842041	0.08687678186232208	0.012640155711249334	[0.7774020573752749]	0.7672037531927253	0.5809128622282026
Fold 2	4065.0	0.5421763906301614	0.6676782328515596	0.8171158013718494	0.00970707828556465	0.09852450601532925	0.5931775696016619	0.5475035959930081	16.88917037963867	0.0893854374477343	0.012637003025609694	[0.7487367176611227]	0.7612043429375897	0.5740685354515214
Fold 3	4065.0	0.5935867618264159	0.596837188004417	0.7725523852816824	0.009400246527061687	0.0969548685062369	0.5854997037242405	0.6016180443917534	6.095244331359863	0.08514253404355816	0.012457500986947674	[0.7811778444971218]	0.7799688146759162	0.5897737132009534
Fold 4	4065.0	0.567798240501806	0.6184684535263529	0.7864276530783699	0.009627802256953049	0.09812136493625152	0.6049873680382196	0.5730600737801743	4.2412662696838375	0.08756632186419237	0.012680654858943024	[0.7586869094114995]	0.7560183855659194	0.5659004259853624
Fold 5	4065.0	0.4958070235116301	0.7351891624998432	0.8574317246870699	0.010926403358559985	0.1045294377606614	0.6503254471313177	0.5167087884129438	13.381071472167969	0.10117770513756273	0.014512463936709066	[0.7264471720339414]	0.7339979065614698	0.5440934327084107
Mean	4065.0	0.5574360151116169	0.645487945771084	0.8028165876957047	0.009843578612301798	0.0991773654581676	0.605393120719187	0.5672746022424922	8.93830545425415	0.09002975607107393	0.012985555703891757	[0.75849014]	0.7596786405867241	0.5709497939148902
SD	0.0	0.03257790840177129	0.04645364273921377	0.028482045392797434	0.0005027818549817531	0.0024881038762588643	0.021284749040042027	0.029078214997164398	4.772426989742189	0.005237470898508406	0.0007004814041354714	0.018231439492232535	0.013805456764502795	0.014201463950457717
Test set	12445.0	0.5203992680886738	0.6909324484625623	0.8312234648171106	0.009502621068501573	0.09748138831849684	0.5832484805430884	0.5272107826025443	34.03323089599609	0.08814526052068056	0.01251666240089711	[0.7557865578927846]	0.7812519884891058	0.5929986067652077
