	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	1340.0	0.604677828181283	0.5485933131839252	0.7406708534726645	0.008557408246094788	0.09250626057783758	0.5253948081016541	0.6112482789475947	11.023661804199218	0.07580543477834743	0.011107461797133796	[0.7902834237107442]	0.8231223086376519	0.6361019190045382
Fold 2	1340.0	0.6018740978158286	0.5039537656154952	0.7098970105694876	0.008461500497444305	0.09198641474394088	0.5484213980560873	0.6182312595440504	4.907814819335938	0.07458093328989064	0.011385250976252058	[0.7959209627907915]	0.7961744848194515	0.6062506961836276
Fold 3	1340.0	0.5995564679985268	0.5960417315261614	0.7720373899793723	0.009514931537135745	0.09754451054331938	0.5660459412446663	0.6079975785976404	6.25663013458252	0.08514641309135415	0.012623461271469471	[0.7868967616501319]	0.8078636414667677	0.6193272550828135
Fold 4	1340.0	0.6457503201562024	0.47968812725832566	0.6925952116917397	0.00809160357160315	0.0899533410808245	0.5255486005939654	0.6576745624458293	2.8827898330688475	0.07137574354120764	0.010865480336776482	[0.8142697659872499]	0.8116617883678825	0.6226961712253889
Fold 5	1339.0	0.6397839168888237	0.5204774226851029	0.7214412122169781	0.008571635407553947	0.09258312701326277	0.5289382523429135	0.6501833626147123	5.6611031036376955	0.0758693023896333	0.01142406324937606	[0.8111144080821708]	0.8202333546551659	0.6355183306321577
Mean	1339.8	0.6183285262081328	0.5297508720538021	0.7273283355860485	0.008639415851966387	0.09291473079183703	0.5388698000678572	0.6290670084299654	6.146399938964844	0.07655556541808664	0.011481143526201573	[0.79969706]	0.8118111155893839	0.6239788744257051
SD	0.3651483716701107	0.018356508892642637	0.03653145132979345	0.024905894674263025	0.0004300386259656602	0.002285580496438406	0.014648327990570073	0.01889944447406693	2.4569829411409763	0.004194560830887254	0.0005531760671709612	0.010078381923582784	0.008746297039884674	0.010146415238851157
Test set	3443.0	0.016646910511568747	1.6369112968409987	1.279418343170442	0.03271996182806746	0.18088659936011695	1.0083631379927724	0.10631593016172425	5.1853377151489255	0.27586558711614606	0.04934189863132683	[0.571150329214968]	0.5281659954917046	0.37190411879878094
