	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	1562.0	0.5918479299716843	0.5474428441138358	0.7398938059707189	0.009429538016647749	0.09710580835690391	0.5610065849001368	0.5943419247987984	3.1486211395263677	0.08247030903161758	0.012660979703224086	[0.7711037374625102]	0.7632558970839254	0.5767839989166005
Fold 2	1562.0	0.6133379777966582	0.518530285873796	0.7200904706172663	0.008614573526490279	0.09281472688367014	0.5517923606232705	0.6183200750932613	2.922539615631104	0.07651601933979385	0.011536788753171793	[0.7871467618765238]	0.7782471780724389	0.5910223635001356
Fold 3	1562.0	0.6014045406986088	0.5168232793115223	0.7189042212364052	0.008767638304912811	0.09363566790979179	0.5430602749447205	0.6069800285826215	4.005366497039795	0.07716991541960855	0.011760877352846198	[0.7800897207446963]	0.7762420821519319	0.589388740212324
Fold 4	1562.0	0.5833500217941063	0.5229204176871314	0.7231323652604214	0.008709819293186623	0.09332641262357952	0.5531976209828552	0.5849192367065397	3.1343768501281737	0.07701663560163849	0.011567818047808072	[0.7672596965439096]	0.7651314826308891	0.5758957935900382
Fold 5	1562.0	0.6224889661246327	0.4783735739570468	0.6916455551487676	0.008068233116508176	0.08982334393969184	0.5341482315429805	0.6236151071428052	3.531698875427246	0.07082483960713451	0.010699082918918782	[0.7915719751488332]	0.7881757662224969	0.5967024346161293
Mean	1562.0	0.602485887277138	0.5168180801886665	0.718733283646716	0.008717960451549128	0.09334119194272743	0.5486410145987927	0.6056352744648053	3.348520595550537	0.0767995437999586	0.011645109355193787	[0.77943438]	0.7742104812323365	0.5859586661670455
SD	0.0	0.012899662953369388	0.020232096707746474	0.014158247510313738	0.00039617152533099654	0.002117848408967997	0.008414138777202372	0.01318256981036271	0.3493512921585813	0.0033694549166210968	0.0005712658619881866	0.008414808811864485	0.008345484188085344	0.0075085609227316785
Test set	4783.0	0.608890675763492	0.5055599259026752	0.7110273735255733	0.008497489110959175	0.09218182635942496	0.5289146605221866	0.610849467514136	3.6775215873718263	0.07504678867218188	0.011358801766065773	[0.7840247328375214]	0.7778675065553795	0.5939256794835861
