	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	1562.0	0.5980203485333613	0.5391639534243167	0.7342778448409816	0.009229008575710152	0.09606772910665762	0.5604829706321452	0.6067413422678458	4.064012069702148	0.08076689223686878	0.01234755970858015	[0.7799781786561638]	0.7747684218564377	0.5885143871155651
Fold 2	1562.0	0.3773473410490028	0.8350038087685494	0.9137854281879031	0.01092349552819739	0.10451552768941748	0.5884348257677808	0.37881626696057613	13.719805755615234	0.10185309702145988	0.013806328116597814	[0.6792665647791299]	0.7682679490304137	0.5805547879808292
Fold 3	1562.0	0.5062490537373495	0.6402029357230552	0.8001268247740825	0.00998758524028341	0.0999379069236664	0.5730834295368072	0.5260970872823129	10.997623901367188	0.09003744961361518	0.013277021900475907	[0.738010743260941]	0.7725559746490346	0.5840269669438906
Fold 4	1562.0	0.5250659152161514	0.5960704259686735	0.7720559733391573	0.009174513162281702	0.09578367899742472	0.5595963689166665	0.5332267467572103	11.041408462524414	0.0825201072189198	0.012087482082407614	[0.7433437464941324]	0.7695681311197432	0.5817702418786356
Fold 5	1562.0	0.6116101268308876	0.4921589968095384	0.7015404455977847	0.008276001222366476	0.09097253004268088	0.535154470072513	0.6216153534965827	3.7600724029541013	0.07328705113746799	0.011149788565208606	[0.7920808584352327]	0.7948096889667401	0.6050058033275723
Mean	1562.0	0.5236585570733505	0.6205200241388267	0.7843573033479817	0.009518120745767827	0.09745547455196941	0.5633504129851825	0.5332993593529055	8.716584518432617	0.08569291944566632	0.012533636074654016	[0.74653602]	0.7759940331244738	0.5879744374492984
SD	0.0	0.07635137856191455	0.10807702292604292	0.06648085453414795	0.0008103484969874738	0.00413835974131726	0.016027505758813766	0.07864513494884184	3.6935441996201823	0.008834254652862764	0.0008486341229555184	0.03605727121076948	0.008834929407738872	0.008159705199196695
Test set	4783.0	0.5836117492704533	0.53823624276029	0.7336458565004575	0.009005446760836047	0.09489703241322169	0.5518413319955578	0.595540992799758	4.184522342681884	0.07985130575613567	0.01212131605089425	[0.775651509440599]	0.7758130881451049	0.5893454204299948
