	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	4065.0	0.5733969088431614	0.6305735226757032	0.7940865964589147	0.009744642395958522	0.09871495528013231	0.5984278602262265	0.5788171308829049	6.692154502868652	0.08898509925743225	0.012841511025096406	[0.7675854757863035]	0.7628645151691753	0.5750508621849918
Fold 2	4065.0	0.5461666417869389	0.661858952704216	0.8135471422752439	0.010105150243571927	0.1005243763649988	0.6076008355876177	0.5523576507968361	11.052849502563475	0.09238493984940988	0.013346129583333595	[0.7506428992765319]	0.7548883719269568	0.5663903208965265
Fold 3	4065.0	0.5544749536925813	0.6542747402093376	0.8088725117157447	0.00975158357405408	0.09875010670401364	0.5930371348302449	0.5581686099834926	12.601636734008789	0.08923237077898385	0.012731837902739641	[0.7577581447439131]	0.7746367560901184	0.5840626722881915
Fold 4	4065.0	0.5187658752412351	0.6886323768538591	0.8298387655766988	0.010178226648512234	0.10088719764426125	0.6145140620415794	0.542016746913702	12.071884002685547	0.09430116290203565	0.013410591994445036	[0.7445308846460189]	0.7610084145203131	0.5717443073320406
Fold 5	4065.0	0.5727764328211646	0.6229561917779878	0.7892757387491318	0.009707745099444063	0.0985278899573317	0.5949810059222495	0.5732696029909188	7.012521881103516	0.0878905162842648	0.01269958405571453	[0.7622792247079608]	0.7598078487822885	0.5717861456665708
Mean	4065.0	0.5531161624770162	0.6516591568442207	0.8071241509551468	0.009897469592308163	0.09948090519014754	0.6017121797215836	0.5609259483135709	9.886209324645996	0.09055881781442529	0.013005930912265842	[0.75655933]	0.7626411812977704	0.5738068616736642
SD	0.0	0.01838441045987466	0.021394548689204772	0.013221251489999678	0.00018375257049285017	0.0009215452860286355	0.007415258120645188	0.012322315523103177	2.30838453058144	0.0021869214789946956	0.00028151228537830935	0.007476829690232133	0.005982522409067406	0.005324028695853896
Test set	12445.0	0.5279970540446772	0.6799867669733886	0.8246131013835449	0.010559906512149726	0.10276140575210971	0.6187076349041557	0.5656522802403707	9.000977706909179	0.09735826616027039	0.014380206534592219	[0.7677961383157635]	0.7692582975649751	0.5807393186770832
