	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	3640.0	0.6572228838780643	0.49972885647291515	0.7069150277599955	0.007733799588869422	0.08794202402076849	0.528827917107383	0.6587185383815795	3.9090641975402836	0.0705181365635113	0.010163356677548412	[0.81387839747918]	0.8055007938504414	0.619845057759394
Fold 2	3640.0	0.59612120359574	0.6039400977319721	0.777135829653975	0.008530624443321692	0.09236137960923761	0.5444185024350554	0.5966216327970804	14.145939865112304	0.07827530434115122	0.010781519954237814	[0.7826723586723632]	0.8057434713006766	0.618788348624879
Fold 3	3639.0	0.6500309696343043	0.5065211468897236	0.7117029906426723	0.007793130112791828	0.08827870701812429	0.5392385184279377	0.6505557649671632	4.313980651855469	0.07069975621889864	0.010074620500032432	[0.8081985909653897]	0.8038325005885202	0.6145731198245374
Fold 4	3639.0	0.6506455321801482	0.5124880935057802	0.7158827372592387	0.007886778957300116	0.08880753885397408	0.5411108728447076	0.6507689185156633	4.061233978271485	0.07160476406624809	0.010211647064759244	[0.8080996477778847]	0.8033475016735662	0.613697972563691
Fold 5	3639.0	0.6703800872253668	0.4832429551894137	0.6951567846100718	0.007456245862978643	0.0863495562407743	0.5263410620882014	0.6755333650899544	4.420742797851562	0.06822556121614809	0.009840909321343433	[0.8243397905316378]	0.8134362943122123	0.6287758287382603
Mean	3639.4	0.6448801353027247	0.5211842299579609	0.7213586739851906	0.007880115793052339	0.08874784114857576	0.535987374580657	0.6464396439502881	6.170192298126221	0.07186470448119146	0.010214410703584267	[0.80743776]	0.8063721123450834	0.6191360655021524
SD	0.4472135954999579	0.02323716601740658	0.03881373431260255	0.02623441480651569	0.0003245115713475175	0.0018111884955061292	0.006483482393595503	0.024203082324215655	3.644151706597635	0.003097769974731611	0.00028380499085220743	0.012526654976076116	0.003333040402166805	0.004897991771464376
Test set	15485.0	0.12006377618617559	1.2269274920502546	1.1076675909541882	0.02010762000390302	0.14180133992280544	0.8759562321586842	0.12947222586308427	6.974950294494629	0.18033330613246262	0.027382815072921625	[0.4469438833973145]	0.43643430012371215	0.30082207499835706
