	MCC	0:1	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC 1
Fold 1	0.6286475379652707	854:486	0.8276119402985075	0.8155448578945846	0.7716049382716049	0.8594847775175644	0.7575757575757576	0.8686390532544379	0.7645259938837919	0.8981927217355268
Fold 2	0.6518434056402285	820:520	0.835820895522388	0.822936210131332	0.7653846153846153	0.8804878048780488	0.8024193548387096	0.8554502369668247	0.7834645669291338	0.9021658067542212
Fold 3	0.601541515869033	816:524	0.8119402985074626	0.7971018560095795	0.7290076335877863	0.8651960784313726	0.7764227642276422	0.8325471698113207	0.7519685039370078	0.8875753068402935
Fold 4	0.6193389563019175	781:559	0.8164179104477612	0.8036094269307502	0.7262969588550984	0.8809218950064021	0.8136272545090181	0.8180737217598097	0.7674858223062382	0.8856335279525583
Fold 5	0.6014786660148874	807:532	0.8110530246452576	0.7961667644948803	0.7236842105263158	0.8686493184634448	0.7841140529531568	0.8266509433962265	0.7526881720430109	0.8931576152276602
Mean	0.6205700163582675	-	0.8205688138842753	0.8070718230922254	0.7431956713250842	0.8709479748593665	0.7868318368208569	0.8402722250377239	0.7640266118198366	0.8933449957020521
SD	0.017182113908351955	-	0.008798325084649842	0.009607113932811587	0.019004384088045733	0.007748768363711894	0.017947230247022238	0.01719029924494251	0.010519884352602038	0.005687681296287962
Test set	0.3932397459583486	1707:1736	0.6903862910252686	0.6913674109589412	0.5748847926267281	0.8078500292911541	0.7526395173453997	0.651393481341521	0.6518615284128021	0.7631007048774495
