	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	669.0	0.6172599531214817	0.6348773922156032	0.7967919378455101	0.01046192327550023	0.1022835435224075	0.5988967441222415	0.6203109762059582	3.2889318466186523	0.09226714521864665	0.013696051116447975	0.7881277108569704	0.7663712741512044	0.5851049050173527
Fold 2	669.0	0.5908301975371768	0.677413675767799	0.823051441750635	0.011693597501904239	0.10813693865605886	0.6295704566259912	0.5958909696277275	3.0053243255615234	0.10008902553385823	0.015132877972970244	0.7733260020145258	0.7663709709135704	0.576233815498203
Fold 3	669.0	0.613192878064273	0.6528145770125905	0.8079694158893581	0.01069254425398504	0.10340475933913797	0.6174206624423085	0.6155136998260866	2.9342821350097656	0.09466444795694773	0.014026177272820942	0.7845613900292081	0.7506138644717766	0.5705591477406429
Fold 4	669.0	0.5219994559659817	0.8334611723442406	0.9129409468000877	0.014014784095091156	0.11838405338174207	0.6965111339551986	0.5220223410773317	3.210188407897949	0.12236884969544796	0.018396421667412285	0.7233171119960549	0.7139991354622884	0.5306298792074109
Fold 5	668.0	0.5673801109149601	0.7241006832719021	0.850941057460446	0.012289309117692555	0.11085715636661693	0.6505237922068842	0.5674135978566193	3.7346361541748045	0.10681779585717457	0.016112255735916303	0.7543355425210203	0.7255345983782231	0.5424588130853004
Mean	668.8	0.5821325191207747	0.704533500122427	0.8383389599492073	0.011830431648834645	0.10861329025319266	0.6385845578705248	0.5842303169187447	3.2346725738525395	0.10324145285241504	0.015472756753113551	0.7647335514835559	0.7445779686754126	0.560997312109782
SD	0.3651483716701107	0.03190598418075998	0.06489417612587257	0.03787356547017461	0.0011667826572747276	0.0052903078998585585	0.030556833890565314	0.03308843992652404	0.2570156154317506	0.009853812953156755	0.0015449686176673481	0.0217474141394448	0.019510809572858324	0.01902022037681141
Test set	1434.0	0.6184307865908121	0.6677910256090703	0.8171848172898651	0.011130157453794772	0.10549956139148055	0.6248507573780822	0.6185276156067454	3.5434224548339843	0.09727926747011327	0.01449579399473403	0.786762230586986	0.7643525753112534	0.5780772570084016
