	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	726.0	0.6680962950380092	0.5887048314322899	0.7672710286673737	0.009731531066423575	0.09864852288008967	0.5837327807192633	0.6688513413216381	3.6626152839660637	0.08557188107442035	0.012737715759205044	0.8187232838178058	0.805345545150521	0.6189586122090377
Fold 2	726.0	0.6549190250074697	0.5862443822664419	0.765665973036834	0.010035012778413514	0.1001749109229128	0.5932914758845138	0.6566392233743923	3.011926841735839	0.08682993365410306	0.013158319843693806	0.8109210983817248	0.7897857388570381	0.6027361662648275
Fold 3	726.0	0.6192198116991623	0.6605328313090173	0.8127317093045019	0.010897273955054382	0.10439000888521076	0.6178953425562416	0.6193252400795362	4.827904071807861	0.0965474725275363	0.014413889758267016	0.7886970876784063	0.772645012239965	0.5888098815375475
Fold 4	726.0	0.6518481782366341	0.5951224199005167	0.7714417799811706	0.009996007084791975	0.09998003343064041	0.5806988067968489	0.6519631456252538	3.357066993713379	0.08735017240471805	0.013138290520564557	0.8089881668600722	0.7975855897555197	0.6125933644890441
Fold 5	725.0	0.6972743657584444	0.5571194588291357	0.7464043534366179	0.009287774685687188	0.09637310146346431	0.5748547857402934	0.6974106335445731	2.6082265472412107	0.08129868540667898	0.012158969910030818	0.8351111506593605	0.8150624354389091	0.627629295098098
Mean	725.8	0.658271535147944	0.5975447847474803	0.7727029688852995	0.009989519914074126	0.09991331551646358	0.5900946383394322	0.6588379167890788	3.4935479476928704	0.08751962901349135	0.013121437158352248	0.8124881574794738	0.7960848642883905	0.610145463919711
SD	0.3651483716701107	0.023076982201250523	0.031127192580182855	0.01989360498845403	0.00048047436526860334	0.0023890891886732195	0.013808855342614683	0.023099319978477115	0.6884124191158727	0.004555220725321611	0.0006764691921510813	0.013731941060311198	0.013148296714675678	0.01224372573991869
Test set	1149.0	-0.058060916686263786	1.6317344539089522	1.2773936174527225	0.02837328501622808	0.16844371468305988	1.0030367432005827	-0.0440392052762959	3.9335023880004885	0.24272684551269583	0.036742629445596295	0.2859071652024818	0.3114671480966975	0.21184595372431705
