target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		15:4	Not enough data in minority class of the training set for all 5 folds										
P28222_WT	Fold 2	80:17		0.5822889690304035	0.8865979381443299	0.7691176470588235	0.5882352941176471	0.95	0.7142857142857143	0.9156626506024096	0.6451612903225806	0.08088235294117646	0.9191176470588236
P28222_WT	Fold 3	80:17		0.6503680973518432	0.9072164948453608	0.7816176470588235	0.5882352941176471	0.975	0.8333333333333334	0.9176470588235294	0.6896551724137931	0.13088235294117648	0.8691176470588236
P28222_WT	Fold 4	80:17		0.5051277258665385	0.865979381443299	0.7334558823529411	0.5294117647058824	0.9375	0.6428571428571429	0.9036144578313253	0.5806451612903226	0.10514705882352941	0.8948529411764706
P28222_WT	Fold 5	80:17		0.5350160644161683	0.8762886597938144	0.7397058823529412	0.5294117647058824	0.95	0.6923076923076923	0.9047619047619048	0.5999999999999999	0.13161764705882353	0.8683823529411765
P28222_WT	Mean	-		0.5979078079076177	0.8907216494845361	0.7732041656324977	0.5915032679738561	0.9549050632911392	0.7390567765567766	0.9159915353914881	0.6560335012759275	0.098004053942252	0.901995946057748
P28222_WT	SD	-		0.07033278412167077	0.017454879861443687	0.03544822300475512	0.06431629376525277	0.011587061796167523	0.0662513247106339	0.011391130138951632	0.060389655876219216	0.030953655338321107	0.030953655338321093
P28222_WT	Test set	7:31		-0.12442396313364056	0.2631578947368421	0.4377880184331797	0.16129032258064516	0.7142857142857143	0.7142857142857143	0.16129032258064516	0.2631578947368421	0.6175115207373272	0.3824884792626728
P08912_WT	Fold 1	16:32		0.408248290463863	0.75	0.6875	0.875	0.5	0.7777777777777778	0.6666666666666666	0.823529411764706	0.13671875	0.86328125
P08912_WT	Fold 2	16:32		0.53125	0.7916666666666666	0.765625	0.84375	0.6875	0.84375	0.6875	0.84375	0.16796875	0.83203125
P08912_WT	Fold 3	15:33		0.8528924408510195	0.9375	0.9181818181818182	0.9696969696969697	0.8666666666666667	0.9411764705882353	0.9285714285714286	0.955223880597015	0.024242424242424242	0.9757575757575758
P08912_WT	Fold 4	15:33		0.7090909090909091	0.875	0.8545454545454545	0.9090909090909091	0.8	0.9090909090909091	0.8	0.9090909090909091	0.10909090909090907	0.890909090909091
