target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P51685_WT		170.0	No test data for temporal split at 2013													
P46092_WT		35.0	Not enough training data for temporal split at 2013													
P51677_WT	Fold 1	137.0		0.7417594258597924	0.34881202065294337	0.5906030990885024	0.005355290722590913	0.07317985188964865	0.41091299736412773	0.7423047057277129	2.4778162956237786	0.049333937224873316	0.007132726356690886	0.864127822789098	0.8769974408957566	0.7095136248761653
P51677_WT	Fold 2	137.0		0.7923481848068379	0.3299326581020806	0.5743976480645447	0.004563185820842803	0.06755135691340924	0.4375526596125025	0.7923682990214208	1.9294693946838386	0.043549596313312955	0.005877430545110118	0.890151174132702	0.883490988757048	0.7116757146603226
P51677_WT	Fold 3	137.0		0.7514511783550504	0.374254446847257	0.6117633912283874	0.005491650893966289	0.07410567383113313	0.48685662719281053	0.7514553539925951	1.7072319107055662	0.05095169417732172	0.007088021364546086	0.8701882262511109	0.8578449575987551	0.668891393176361
P51677_WT	Fold 4	136.0		0.6874297438089322	0.4858578179761312	0.6970350191892307	0.0077106000599334295	0.08781002254830271	0.5039904389661901	0.7043100728074485	2.7252922439575196	0.0679574732701409	0.009703173679397777	0.8395654545060292	0.8451856010026698	0.6654309694421825
P51677_WT	Fold 5	136.0		0.7516771841556145	0.4104721023908245	0.640680967713904	0.005861097402678165	0.07655780432247365	0.4927983137860018	0.763012711338116	2.0510060806274417	0.056042155063702206	0.007791326910539373	0.8755172260006514	0.8748212393967243	0.6903782872913632
P51677_WT	Mean	136.6		0.7449331433972455	0.38986580919384733	0.6228960250569138	0.005796364980002319	0.07584094190099348	0.46642220738432655	0.7506902285774586	2.1781631851196286	0.053566971209870216	0.007518535771256848	0.8679099807359183	0.8676680455301907	0.6891779978892789
P51677_WT	SD	0.4472135954999579		0.030694370994684132	0.05026628402326319	0.03943719862160482	0.00095538947042114	0.00609073829490674	0.03276013764629854	0.02617545414102517	0.3388549319657453	0.007509095985871794	0.0011456057871563551	0.01514071856941848	0.012848636122051858	0.017779170257889002
P51677_WT	Test set	74.0		-0.043708200277082776	0.7764507496815046	0.8811644282887868	0.011442172804481497	0.1069680924597681	0.6905844493556668	-0.03916686543537007	2.590167617797851	0.1055179848719115	0.014434962775376802	0.30245805368073353	0.19977932367319715	0.14394390936726406
P51679_WT	Fold 1	35.0		0.4134849734506132	0.41702472332848783	0.6457745143070357	0.007778570460346167	0.08819620434205866	0.5156969025748117	0.4410223918493278	1.802699329376221	0.06611087885680382	0.010588587806677197	0.6741522052558108	0.6616246498599441	0.5058823529411764
P51679_WT	Fold 2	35.0		0.5609091079737092	0.361451838399462	0.6012086479746129	0.007020541574669859	0.08378867211425337	0.5060025754656111	0.5735933880397496	1.262900276184082	0.05791267625057002	0.009447679116695694	0.7584212192665118	0.7566356205963092	0.5382676420127228
P51679_WT	Fold 3	34.0		0.4730600239786519	0.35588488009011787	0.5965608771031821	0.0070810746248018315	0.08414912135490085	0.48643343532786654	0.5170156693879564	1.2057985496520995	0.057427059028754106	0.009386347599243675	0.7209285228622826	0.6784841155012483	0.46607217167178455
P51679_WT	Fold 4	34.0		0.4651012352541236	0.3627201236256735	0.6022625039180785	0.006355876042507504	0.07972374829690024	0.4614304863424862	0.5355246475550316	1.4432347259521485	0.056415573273068766	0.008841173342212709	0.7385959860710772	0.6787897389766993	0.5017865143286262
P51679_WT	Fold 5	34.0		0.2581048580634332	0.3907490372559156	0.6250992219287396	0.007091843834292607	0.08421308588510819	0.4526965003294104	0.2678617730540709	1.5859023590087897	0.060817568766122945	0.009587645996268974	0.5714505366016966	0.6522536287242169	0.4545454545454546
P51679_WT	Mean	34.4		0.4341320397441062	0.3775661205399314	0.6141811530463298	0.007065581307323593	0.08401416639864426	0.4844519800080372	0.46700357397722725	1.460107048034668	0.05973675123506393	0.00957028677221965	0.6927096940114759	0.6855575507316836	0.49331082709995294
P51679_WT	SD	0.4472135954999579		0.0912494512248016	0.02113811931041913	0.017020374619169783	0.0004112974260318035	0.002449685637060967	0.02229723142820242	0.09907086215868499	0.19876364941124922	0.0032012971372517916	0.0005192480123219153	0.06092074399945069	0.03373885925459099	0.027373022613208776
P51679_WT	Test set	148.0		-0.19743745012514413	1.0749343215932254	1.0367903942423586	0.01770086209502165	0.13304458686854437	0.7648125197178609	-0.06278209616093955	3.117200565338134	0.16307806913179687	0.024964126713009595	0.15986014074616994	0.14717547929587668	0.1097656561955565
P51684_WT	Fold 1	44.0		-1.424126016307194	0.09371889049873583	0.30613541202993133	0.0027218051634718197	0.05217092258597522	0.19111049565401936	-1.407206819810936	1.120414199829102	0.018995569834424287	0.0038675157344169445	-0.08204170301385634	-0.003948946567797186	0.006389953915179551
P51684_WT	Fold 2	43.0		-1.22727168327873	0.05849497233568873	0.24185733880882906	0.0017228835205071727	0.04150763207540479	0.15540152793706855	-1.1868524985730957	1.1658420753479	0.011876816481138346	0.0024258671101706816	0.0751860032420076	0.23383602620097502	0.1589345573588306
P51684_WT	Fold 3	43.0		0.2528491808494371	0.15930734410746508	0.3991332410454748	0.003959708290420912	0.0629262130627683	0.21428849286811288	0.2653408970994786	1.5866272544860838	0.030817930356878232	0.00601071278340041	0.602566091525603	0.2722945497015887	0.18233586173484573
P51684_WT	Fold 4	43.0		-0.06781898697703492	0.12204079524184082	0.349343377269186	0.003278665332959029	0.057259630918815994	0.1832924283936967	-0.04018902833262983	1.5880832481384282	0.02469132896761559	0.005024038670242992	0.07172190248226519	0.19280024248579483	0.104854959085322
P51684_WT	Fold 5	43.0		-4.011096747948144	0.10054173453508929	0.31708316659054814	0.0028258784001068777	0.05315899171454325	0.2069606922948083	-3.7193300572500245	1.4251874542236331	0.01973407513863754	0.003909804272741168	0.042897041740413255	0.06951267190884229	0.0268016100210724
P51684_WT	Mean	43.2		-1.2954928507323331	0.10682074734376394	0.3227105071487939	0.002901788141493162	0.05340467807150151	0.19021072742954115	-1.2176475013734414	1.3772308464050294	0.0212231441557388	0.004247587714194439	0.14206586719528652	0.15289890874588072	0.09586338842305006
P51684_WT	SD	0.3651483716701107		1.3723611835117646	0.030367081636275526	0.04724648064082144	0.0006694778718712312	0.006437423240477494	0.018800057292538877	1.2832874271132733	0.18314176192001544	0.005753571108893757	0.0011021724319926801	0.21661806063106123	0.0948268305085039	0.063654450031973
P51684_WT	Test set	29.0		-2.9886152742509355	4.182588369679483	2.045137738559309	0.08717634907728969	0.2952564124236588	1.7881951956913391	0.02907983754340915	3.4844200325012213	0.756890058701279	0.13866900228867318	0.2037123233028426	0.21951220178373562	0.14321031309413615
P41597_WT	Fold 1	218.0		0.5551455302726384	0.529391105652274	0.727592678393807	0.009230650094232191	0.09607627227485563	0.5533514555484876	0.5582588729364006	2.7050977554321287	0.07918082464668583	0.012055085284395603	0.7498758141196471	0.7456652270366784	0.5582892228225258
P41597_WT	Fold 2	217.0		0.6117356682108688	0.4188519639697522	0.6471877347182595	0.007183618653099937	0.08475623076269931	0.5041454214104859	0.6121055866947134	2.6992318725585935	0.06254104188327457	0.009501709246999829	0.7911473510744312	0.7811180447479381	0.5933344953604047
P41597_WT	Fold 3	217.0		0.682818217040847	0.4156454433463418	0.64470570289578	0.006938108676746737	0.08329531005252779	0.49923182122718357	0.6837672913932489	1.800271987915039	0.06085642507143618	0.00906508325248342	0.828439750834481	0.805952463167441	0.6167643283471553
P41597_WT	Fold 4	217.0		0.53345538588917	0.5162938117592214	0.7185358806345173	0.00853333906326962	0.09237607408452483	0.5624683885003016	0.5372998582451367	2.0567085266113283	0.07522856870517015	0.011134983040226424	0.7355841999677668	0.7281482421407812	0.5388558046571519
P41597_WT	Fold 5	217.0		0.6439480266069699	0.4460422812808585	0.6678639691440604	0.007578788449790838	0.08705623728252238	0.5177723699560912	0.6503823020001644	2.074198665618897	0.06572299782215929	0.009866657458110719	0.8106364720327237	0.7766667332420595	0.5896216178871747
P41597_WT	Mean	217.2		0.6054205656040988	0.46524492120168953	0.681177193157285	0.007892900987427866	0.08871202489142599	0.52739389132851	0.6083627822539328	2.2671017616271976	0.0687059716257452	0.0103247036564432	0.7831367176058099	0.7675101420669797	0.5793730938148824
P41597_WT	SD	0.3651483716701107		0.05036733149103653	0.044162348727733856	0.032178573669091534	0.0007866712649268772	0.004385356987642811	0.02355908427595565	0.05004303068511221	0.3361507297768184	0.006592757276253683	0.001010325272539576	0.03224980929209627	0.025077844496002512	0.025113866472981916
P41597_WT	Test set	273.0		0.015918055096933448	1.4102354296981523	1.1875333383522975	0.021997311059585804	0.14831490504863562	0.9608864180875785	0.022490610028078728	2.9390490493774415	0.1999545677911093	0.028733542356593495	0.3410208831333441	0.2980784316289363	0.19822888593333854
P32246_WT	Fold 1	54.0		0.44531477410972375	0.6062096694525598	0.7785946759723957	0.011455043953355023	0.10702823904631442	0.5527880354987251	0.48462176172883376	2.688760280609131	0.09276133633377415	0.014467850818413229	0.6963053960916598	0.7175587116153732	0.5572287147355245
P32246_WT	Fold 2	54.0		0.49387728133653175	0.48961909751835364	0.6997278739041011	0.008804042033944356	0.09382985683642683	0.5227002677211054	0.4942164391252758	2.589986534118652	0.07446753806550611	0.01153098540036912	0.7146745724882975	0.7524824183264543	0.5732261797201476
P32246_WT	Fold 3	54.0		0.22659871103853657	0.8185348897109752	0.9047291803136314	0.01330490801428054	0.11534690292452823	0.6191831121797916	0.2583561144394415	3.7601316452026374	0.12331065822788899	0.018970560356448982	0.5560635053446703	0.6261220912532465	0.4739601827442196
P32246_WT	Fold 4	53.0		0.13573966252786562	0.6861962115585203	0.8283696104750103	0.009979581816691752	0.09989785691741215	0.47984358352085327	0.17987867711467365	4.947396125793457	0.10115857488049249	0.015217929461318483	0.5257599632831327	0.6825521633286735	0.5426810341649388
P32246_WT	Fold 5	53.0		0.20051810794428904	0.6397996529766701	0.7998747733093413	0.011080783754474714	0.10526530175929158	0.6422747007405983	0.2810097025132908	1.8421877861022953	0.09435149344560059	0.014043813969438528	0.5438541282066822	0.48560484502607765	0.3470364106615632
P32246_WT	Mean	53.6		0.3004097073913893	0.6480719042434158	0.8022592227948959	0.010924871914549276	0.10427363149679465	0.5633579399322148	0.33961653898430305	3.165692474365234	0.09720992019065247	0.014846228001197666	0.6073315130828885	0.652864045909965	0.49882650440527876
P32246_WT	SD	0.4472135954999579		0.1297239370271345	0.09784278292625431	0.06091006816026214	0.0013760726410185467	0.006575312984943049	0.054899486805619416	0.11581727428714424	0.9864407514112468	0.014387592145449053	0.002195683281091677	0.0738811985612417	0.08532426054830526	0.0758594271778776
P32246_WT	Test set	172.0		-0.8645266948246155	2.246676250441435	1.4988916740183178	0.03238410314020929	0.17995583663835216	1.3114868849377301	-0.04133376638528907	3.118242828369141	0.31655443322534	0.0449828498177352	0.1721733837882844	0.13996632108525134	0.09041066269164484
P51681_WT	Fold 1	196.0		0.5964271332706688	0.6076484287097268	0.7795180746523629	0.009533135718035466	0.09763777812934636	0.6117029821629428	0.597996955414269	2.8273366546630863	0.08549658046610475	0.012269458619872307	0.7816642105090701	0.7705035347397932	0.5845012303447702
P51681_WT	Fold 2	196.0		0.5850690850556479	0.7637358274736554	0.8739198060884393	0.01304130308074952	0.11419852486240582	0.6502047955843867	0.5850808207002494	3.831686004638672	0.11232790972625988	0.016955487818499457	0.7679148467552452	0.777363079711655	0.5904915693876411
P51681_WT	Fold 3	196.0		0.6009956713245194	0.6508337699864204	0.8067426913126765	0.010786971364150934	0.1038603454844578	0.6080453088721451	0.6079973051028029	3.680807857513428	0.09297468230437293	0.013581582326681748	0.783542430903263	0.7665388397383549	0.5839244552123843
P51681_WT	Fold 4	196.0		0.6116026837621484	0.7414697568395133	0.8610863817524426	0.010602609934668914	0.10296897559298585	0.6179594193283392	0.6130807180525725	3.2583296279907223	0.10063032130478186	0.013972540063068145	0.7844626815424338	0.7771904185630925	0.595384999028854
P51681_WT	Fold 5	196.0		0.7340059468315078	0.5329540862511312	0.7300370444375622	0.008690855188874155	0.09322475630900923	0.5596310453998798	0.736771821993043	2.7226282119750973	0.07706745420236152	0.011467624120805776	0.8583729632272019	0.854394239554443	0.6746998543269193
P51681_WT	Mean	196.0		0.6256201040488985	0.6593283738520894	0.8102607996486967	0.010530975057295798	0.10237807607564102	0.6095087102695388	0.6281855242525873	3.2641576713562017	0.0936993896007762	0.013649338589785487	0.7951914265874429	0.7891980224614678	0.6058004216601138
P51681_WT	SD	0.0		0.05007819944586484	0.07784767044494446	0.0483546826821009	0.0013387890627511356	0.006435875772189043	0.026527732875841332	0.050325720025647995	0.40410116489048836	0.011101742579534453	0.0017177320115766444	0.029353333215114595	0.029993659267032995	0.03168119123130106
P51681_WT	Test set	273.0		0.12222890106220763	2.11165902750638	1.4531548532439273	0.04177395123563813	0.20438676873916797	1.1374047412802448	0.22195739607840115	3.452956581115723	0.32660102104731636	0.05163349587004308	0.4778294233068925	0.4786381548425123	0.3093657055817179
