target	index	A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q9IP65_WT		0:4	Number of points 4 < 30										
P30939_WT		8:2	Not enough data in minority class of the training set for all 5 folds										
P28222_WT	Fold 1	56:18		0.4635982617058455	0.8243243243243243	0.6765873015873016	0.3888888888888889	0.9642857142857143	0.7777777777777778	0.8307692307692308	0.5185185185185185	0.2271825396825397	0.7728174603174603
P28222_WT	Fold 2	56:17		0.49269691758088574	0.8356164383561644	0.7085084033613445	0.47058823529411764	0.9464285714285714	0.7272727272727273	0.8548387096774194	0.5714285714285714	0.1092436974789916	0.8907563025210083
P28222_WT	Fold 3	56:17		0.5906796471807896	0.863013698630137	0.7673319327731092	0.5882352941176471	0.9464285714285714	0.7692307692307693	0.8833333333333333	0.6666666666666667	0.15021008403361344	0.8497899159663866
P28222_WT	Fold 4	56:17		0.1303102678740378	0.726027397260274	0.5551470588235294	0.23529411764705882	0.875	0.36363636363636365	0.7903225806451613	0.2857142857142857	0.24474789915966386	0.7552521008403361
P28222_WT	Fold 5	56:17		0.49269691758088574	0.8356164383561644	0.7085084033613445	0.47058823529411764	0.9464285714285714	0.7272727272727273	0.8548387096774194	0.5714285714285714	0.11974789915966387	0.8802521008403362
P28222_WT	Mean	-		0.4339964023844889	0.8169196593854128	0.6832166199813259	0.4307189542483661	0.9357142857142856	0.6730380730380731	0.8428205128205126	0.5227513227513227	0.1702264239028945	0.8297735760971057
P28222_WT	SD	-		0.14407329068783217	0.04308911679828783	0.06429164644630879	0.1064042116934686	0.02842222949122219	0.14249892032946876	0.02837671879978988	0.1166583679316205	0.05076921252632305	0.05076921252632305
P28222_WT	Test set	126:31		0.5451715363299866	0.8662420382165605	0.746415770609319	0.5483870967741935	0.9444444444444444	0.7083333333333334	0.8947368421052632	0.6181818181818182	0.10880696364567331	0.8911930363543267
P08912_WT	Fold 1	20:54		0.4195303887997111	0.7837837837837838	0.6944444444444444	0.8888888888888888	0.5	0.8275862068965517	0.625	0.8571428571428572	0.14537037037037037	0.8546296296296296
P08912_WT	Fold 2	20:53		0.5139682800587462	0.821917808219178	0.7061320754716981	0.9622641509433962	0.45	0.8225806451612904	0.8181818181818182	0.8869565217391304	0.14622641509433965	0.8537735849056604
P08912_WT	Fold 3	20:53		0.5749694434253699	0.8356164383561644	0.7778301886792454	0.9056603773584906	0.65	0.8727272727272727	0.7222222222222222	0.8888888888888888	0.14150943396226418	0.8584905660377358
P08912_WT	Fold 4	20:53		0.6369470102771864	0.863013698630137	0.7811320754716982	0.9622641509433962	0.6	0.864406779661017	0.8571428571428571	0.9107142857142857	0.09716981132075472	0.9028301886792454
P08912_WT	Fold 5	20:53		0.6462305119653564	0.863013698630137	0.8122641509433962	0.9245283018867925	0.7	0.8909090909090909	0.7777777777777778	0.9074074074074073	0.07830188679245284	0.9216981132075471
P08912_WT	Mean	-		0.558329126905274	0.8334690855238801	0.7543605870020965	0.928721174004193	0.5800000000000001	0.8556419990710445	0.7600649350649351	0.8902219921785139	0.12171558350803635	0.8782844164919638
P08912_WT	SD	-		0.07683022370556959	0.02693337665350583	0.04190523232702747	0.027037794719990373	0.08465616732800195	0.024127012241801048	0.07392569180664867	0.017425757885116615	0.02594664498909735	0.02594664498909736
P08912_WT	Test set	33:125		0.45014534323874295	0.8354430379746836	0.6952727272727273	0.936	0.45454545454545453	0.8666666666666667	0.6521739130434783	0.9	0.1372121212121212	0.8627878787878789
P08173_WT	Fold 1	38:44		0.30936586243815795	0.6585365853658537	0.6513157894736843	0.75	0.5526315789473685	0.66	0.65625	0.702127659574468	0.24401913875598089	0.7559808612440191
P08173_WT	Fold 2	38:44		0.35950025121272106	0.6829268292682927	0.6758373205741627	0.7727272727272727	0.5789473684210527	0.68	0.6875	0.7234042553191491	0.25717703349282295	0.742822966507177
P08173_WT	Fold 3	37:44		0.6510292068616079	0.8271604938271605	0.8237100737100738	0.8636363636363636	0.7837837837837838	0.8260869565217391	0.8285714285714286	0.8444444444444444	0.11916461916461912	0.8808353808353808
P08173_WT	Fold 4	37:44		0.32358643968691797	0.6666666666666666	0.6587837837837838	0.75	0.5675675675675675	0.673469387755102	0.65625	0.7096774193548386	0.28316953316953314	0.7168304668304668
P08173_WT	Fold 5	38:43		0.45471236230110157	0.7283950617283951	0.7273561811505508	0.7441860465116279	0.7105263157894737	0.7441860465116279	0.7105263157894737	0.7441860465116278	0.23378212974296203	0.7662178702570379
P08173_WT	Mean	-		0.4196388245001013	0.7127371273712737	0.7074006297384511	0.7761099365750528	0.6386913229018493	0.7167484781576938	0.7078195488721806	0.7447679650409056	0.22746249086518366	0.7725375091348164
P08173_WT	SD	-		0.11530719614038167	0.05669614577675558	0.058354463257825874	0.040936760540933224	0.08391096134922402	0.05649726113470468	0.058195165672897044	0.04733161261312105	0.05168610071973844	0.051686100719738434
P08173_WT	Test set	83:92		0.5075916926059767	0.7542857142857143	0.7539287585123101	0.7608695652173914	0.7469879518072289	0.7692307692307693	0.7380952380952381	0.7650273224043715	0.17181770560502882	0.8281822943949712
P08172_WT	Fold 1	64:47		0.36019353617453825	0.6846846846846847	0.6813497340425532	0.6595744680851063	0.703125	0.62	0.7377049180327869	0.6391752577319586	0.2546542553191489	0.745345744680851
P08172_WT	Fold 2	64:47		0.4576561584501818	0.7387387387387387	0.7197473404255319	0.5957446808510638	0.84375	0.7368421052631579	0.7397260273972602	0.6588235294117647	0.16456117021276595	0.835438829787234
P08172_WT	Fold 3	64:47		0.5375149246040178	0.7747747747747747	0.7679521276595744	0.723404255319149	0.8125	0.7391304347826086	0.8	0.7311827956989247	0.14295212765957446	0.8570478723404256
P08172_WT	Fold 4	63:47		0.4549598544339092	0.7363636363636363	0.721209050996285	0.6170212765957447	0.8253968253968254	0.725	0.7428571428571429	0.6666666666666666	0.1661600810536981	0.8338399189463019
P08172_WT	Fold 5	63:47		0.5701889063680353	0.7909090909090909	0.7823370482944951	0.723404255319149	0.8412698412698413	0.7727272727272727	0.803030303030303	0.7472527472527473	0.1425194191151638	0.8574805808848363
P08172_WT	Mean	-		0.4761026760061364	0.7450941850941851	0.734519060283688	0.6638297872340425	0.8052083333333332	0.7187399625546078	0.7646636782634986	0.6886201993524124	0.17416941067207023	0.8258305893279297
P08172_WT	SD	-		0.06689033890385872	0.03353074439439892	0.03323318441783023	0.04820608643394734	0.047727774902948585	0.04734070986318959	0.027522232528734404	0.038867191970064975	0.0378825346471573	0.03788253464715734
P08172_WT	Test set	158:79		0.5879135221252623	0.8143459915611815	0.7974683544303798	0.7468354430379747	0.8481012658227848	0.7108433734939759	0.8701298701298701	0.728395061728395	0.11664797308123699	0.883352026918763
P25100_WT	Fold 1	64:20		0.425	0.8095238095238095	0.6859375	0.45	0.921875	0.6428571428571429	0.8428571428571429	0.5294117647058824	0.15859375	0.84140625
P25100_WT	Fold 2	64:20		0.4389381125701739	0.8214285714285714	0.659375	0.35	0.96875	0.7777777777777778	0.8266666666666667	0.48275862068965514	0.1765625	0.8234375
P25100_WT	Fold 3	63:20		0.40714285714285714	0.7831325301204819	0.7035714285714285	0.55	0.8571428571428571	0.55	0.8571428571428571	0.55	0.2365079365079365	0.7634920634920636
P25100_WT	Fold 4	64:19		0.455596054782693	0.8313253012048193	0.6685855263157895	0.3684210526315789	0.96875	0.7777777777777778	0.8378378378378378	0.5	0.13075657894736842	0.8692434210526316
P25100_WT	Fold 5	64:19		0.12533597193640786	0.7349397590361446	0.5505756578947368	0.21052631578947367	0.890625	0.36363636363636365	0.7916666666666666	0.26666666666666666	0.28207236842105265	0.7179276315789473
P25100_WT	Mean	-		0.3704025992864264	0.7960699942627654	0.653609022556391	0.38578947368421057	0.9214285714285715	0.6224098124098124	0.8312342342342343	0.46576741041244085	0.19689862677527153	0.8031013732247285
P25100_WT	SD	-		0.11280027777241913	0.03154700959368874	0.049014944766656424	0.10278441162156599	0.03991730530428003	0.14195268071374692	0.020151143073986112	0.0933161387959683	0.050131586535333415	0.05013158653533342
P25100_WT	Test set	138:41		0.3940214754436913	0.8100558659217877	0.6625132555673383	0.3902439024390244	0.9347826086956522	0.64	0.8376623376623377	0.48484848484848486	0.176033934252386	0.823966065747614
P13945_WT	Fold 1	98:29		0.5722373471483931	0.8582677165354331	0.7624912033779029	0.5862068965517241	0.9387755102040817	0.7391304347826086	0.8846153846153846	0.6538461538461539	0.11294862772695285	0.8870513722730471
P13945_WT	Fold 2	98:28		0.6317636935053224	0.8809523809523809	0.7831632653061225	0.6071428571428571	0.9591836734693877	0.8095238095238095	0.8952380952380953	0.6938775510204083	0.12244897959183675	0.8775510204081632
