		number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P04626_WT	Fold 4	6.0	-0.5600512863661948	0.7570110732504958	0.8700638328596907	0.016241200784661493	0.1274409698043039	0.6821650384267169	-0.5542349779165063	1.5914502143859863	0.12808563442531007	0.02183010164283261	0.07249095584801202	0.028571428571428574	-0.06666666666666665
P04626_WT	Fold 5	6.0	-0.09232810493836174	1.1116570024674826	1.0543514605991129	0.024318293034826726	0.15594323657929743	0.9066374111175537	-0.04306673360417301	1.6477773246765137	0.18853925132868188	0.032262396731151353	-0.20678718484865716	-0.3714285714285715	-0.2
P04626_WT	Mean	6.2	-0.2360231861000422	0.6901722074770369	0.8090488133748346	0.014785500241118688	0.11821467873897593	0.7088076048169817	-0.18599675132805518	1.2763152709960939	0.11701119584995161	0.0199698214012572	0.1543406519905281	0.06999999999999998	0.07047619047619048
P04626_WT	SD	0.3651483716701107	0.2724515823652497	0.26067221082134107	0.17226971356424658	0.005774172750928734	0.025993428204057686	0.148614466052394	0.3018537047486054	0.2971289760927202	0.04430102674020115	0.007599564811337563	0.2871259126068019	0.2960166386204263	0.21589168920170204
P04626_WT	Test set	2.0	-0.8489772847411821	0.5096243641067881	0.7138797966792365	0.011619158800927057	0.1077922019485967	0.5308232021331789	0.17332937076148203	1.0081607055664064	0.08796890263532475	0.015211746467368448	1.0	0.9999999999999999	1.0
P06239_WT	Fold 1	5.0	0.053925621943594626	1.7605311156954546	1.3268500728022947	0.0263546352509292	0.1623411077051318	1.0514522438049316	0.5024072239137127	2.216615901947021	0.25489421081173375	0.0375238338942264	0.8134275071405649	0.8999999999999998	0.7999999999999999
P06239_WT	Fold 2	5.0	-0.7738567632088027	0.9549305287531507	0.9772054690560991	0.019245273541159222	0.1387273352341175	0.7758443977355955	-0.1106685378156651	1.7813452415466307	0.16403637856751024	0.028359248883403777	-0.04236980283184687	0.09999999999999999	0.0
P06239_WT	Fold 3	5.0	0.09216916312834644	1.4982192303644573	1.2240176593352146	0.023796946147025134	0.15426258829354944	1.0362327819824215	0.13032833405439115	1.9632105903625483	0.21562707717836105	0.031281485428772	0.39407729940761366	0.3	0.19999999999999998
P06239_WT	Fold 4	5.0	-2.2950222965699845	1.4736130515612145	1.2139246482221269	0.030732483851055054	0.17530682773655754	1.123287181854248	0.5263247083270223	1.4807038955688476	0.23908455388552063	0.03899679355210441	0.786664662206447	0.7999999999999999	0.6
P06239_WT	Fold 5	5.0	-0.3571367531457077	2.6312435540211405	1.6221108328413139	0.05147326079137794	0.22687719319353794	1.4883286598205565	-0.35679492278400415	2.310107856750488	0.42616263203813814	0.06972150162698387	-0.4950267507460592	-0.39999999999999997	-0.39999999999999997
P06239_WT	Mean	5.0	-0.6559842055705107	1.6637074960790834	1.2728217364514098	0.030320519916309307	0.17150301043257882	1.0950290530395506	0.13831936113909138	1.9503966972351072	0.2599609704962528	0.041176572677098094	0.29135458303534395	0.33999999999999997	0.24
P06239_WT	SD	0.0	0.8013899414671924	0.5018943929538713	0.19068368942636713	0.010235188477209358	0.0274960198463957	0.20925179669200783	0.31366253249595877	0.2737452287870111	0.08088212674102452	0.013509894197020127	0.4579322615324618	0.43435776344698457	0.3898717737923585
P06239_WT	Test set	10.0	-2.32177812512342	1.9080544677135194	1.3813234478982537	0.031159991174586142	0.17652192831086494	1.0572713325500487	-2.321740588812884	2.8077775955200197	0.27620082074274777	0.04066680907848057	-0.36166835260347835	-0.5106406566912542	-0.3146266024828463
Q5S007_WT	Fold 1	7.0	-2.2471859744842804	0.27901942504017574	0.5282228933321385	0.006216225354189032	0.07884304252240036	0.3698012411934989	-1.4256972116783175	1.2052415542602537	0.05034896073170308	0.009123973721116205	0.6735309396525437	0.6486749731408026	0.48795003647426666
Q5S007_WT	Fold 2	7.0	-0.9134643306651005	1.6569504571347424	1.2872258765013787	0.02699519772315695	0.16430215373864382	1.0272789306640626	-0.7865133692973634	2.5475357704162604	0.24979986629357093	0.03806296510723518	-0.027462791699690778	0.28571428571428575	0.23809523809523814
Q5S007_WT	Fold 3	6.0	-0.3067006241848249	0.3853544713289226	0.6207692577189391	0.008731808771694504	0.09344414787291125	0.4867018191019694	-0.1268859003038476	1.289111614227295	0.06639545589612823	0.011481250802997778	0.19841277212880834	0.14494275891311212	0.13801311186847084
Q5S007_WT	Fold 4	6.0	-0.43927411547915973	1.7426401956166935	1.320090980052774	0.026351641690170766	0.162331887471842	0.981423854192098	-0.4362630346507348	2.399022495269776	0.24697895652095792	0.03539235262223898	0.12051200267872027	0.4285714285714286	0.2
Q5S007_WT	Fold 5	6.0	-0.22513539906071323	0.5472018254488716	0.7397309142173738	0.013489925585082954	0.11614613891594913	0.5504307263692221	-0.17042277318604881	1.1332952995300296	0.10062894226881358	0.01858840452442667	-0.12045250734846716	-0.14285714285714288	-0.06666666666666665
Q5S007_WT	Mean	6.4	-0.8263520887748157	0.9222332749138811	0.8992079843645208	0.01635695982485884	0.12301347410434933	0.6831273143041702	-0.5891564578232623	1.714841346740723	0.14283043634223475	0.022529789355602965	0.1689080830823829	0.2730092606964972	0.19947834395426178
Q5S007_WT	SD	0.447213595499958	0.6840670025077205	0.5853045286976158	0.3077583951860302	0.007981886584530341	0.031945852803838555	0.24555574671148084	0.43801798844635775	0.5687145455456752	0.08006816769526116	0.010985184675135483	0.25171015288897935	0.24318430175644265	0.16295121737156792
Q5S007_WT	Test set	27.0	-0.8120094770535384	0.39824407421169244	0.6310658239927848	0.00883568067410688	0.09399830144266906	0.5243145208005552	-0.6672493203437064	1.5438679695129398	0.06829845297598339	0.011772890789696098	0.04405834156559233	0.07448107448107448	0.03703703703703704
O75116_WT	Fold 1	5.0	-2.2113899574444478	0.6102925475127423	0.781212229495124	0.011485547888002075	0.10717064844444152	0.7130992965698241	-0.21108164674582008	1.1781164932250974	0.09456674298600447	0.014700747860957453	0.18013892362060946	0.0	0.0
O75116_WT	Fold 2	4.0	-0.8701866093362354	0.5077248063557341	0.7125481080991894	0.008150255728654712	0.09027876676525168	0.5928274288177491	0.15646632941025007	1.1586210365295413	0.07536184150163017	0.0112140067062374	0.4030374339716889	0.39999999999999997	0.3333333333333334
O75116_WT	Fold 3	4.0	-5.166946837875857	0.5240066291168427	0.7238830217078189	0.009835707142697811	0.09917513369135335	0.6291587677001953	-0.5083628495325443	0.934148464202881	0.08506687395550516	0.013828791941048357	-0.3262009995170933	-0.19999999999999998	0.0
O75116_WT	Fold 4	4.0	-1.082177500138486	0.056833425274561304	0.2383976201109426	0.0011077861005571652	0.03328342080611855	0.20945839977264402	0.5251688950938866	0.37390260696411115	0.009300814653984357	0.0015228119865261514	0.8981929122004342	0.39999999999999997	0.3333333333333334
O75116_WT	Fold 5	4.0	-1.7464590226127283	0.4944196130950103	0.7031497799864623	0.009999823360794106	0.09999911680007031	0.559499771118164	-0.43029158131702006	1.252411518096924	0.0794810486436095	0.01280775614794849	-0.571356832195011	-0.7999999999999999	-0.6666666666666669
O75116_WT	Mean	4.2	-2.215431985481551	0.4386554042709781	0.6318381518799074	0.008115824044141174	0.08598141730144708	0.5408087327957153	-0.09362017061824954	0.979440023803711	0.06875546434814674	0.01081482292854357	0.11676228761612564	-0.039999999999999994	0.0
O75116_WT	SD	0.3651483716701107	1.41570611076754	0.17814432045289352	0.18128236285778318	0.0033410644870895513	0.024546213607798212	0.1582919822549073	0.3522781789557738	0.29292163345728994	0.027766352347547273	0.004371441784290547	0.47720161274662626	0.4066120181860508	0.3333333333333334
O75116_WT	Test set	10.0	-0.6841209912349029	1.11697588414913	1.0568707982289651	0.01754641809442466	0.13246289327364347	0.9396745029449463	-0.4659212387517666	1.9444240570068363	0.1630626603644883	0.02392143398309594	-0.08804632662100245	0.13414634146341464	0.09090909090909091
P28482_WT	Fold 1	6.0	-0.20999294477431252	0.5510100827265002	0.7423005339661963	0.009854649166364535	0.09927058560502469	0.41466539891560866	-0.18422491560404186	1.5689713897705078	0.08670062203476192	0.013697651448783063	-0.5284045693425043	-0.7745966692414834	-0.7453559924999299
P28482_WT	Fold 2	5.0	0.5204395174956511	0.07354086854591212	0.2711841967112245	0.0012651979158819992	0.03556962068791287	0.16757820205688478	0.607111246795154	0.5817679443359376	0.011246100789718128	0.0017215858418599516	0.9004914506627499	0.7071067811865475	0.6324555320336759
P28482_WT	Fold 3	5.0	-0.22101353947258429	0.24925164772077785	0.4992510868498714	0.004635007257725926	0.06808088760970972	0.3343371833801271	0.18276544749615686	0.8900178527832034	0.03853291931508487	0.00596284320454199	0.5528878413557412	0.22941573387056177	0.1259881576697424
P28482_WT	Fold 4	5.0	-2.0147977483811474	0.41653169243093513	0.6453926653061182	0.008278792246303679	0.09098786867656412	0.47899853897094713	-0.35419912345249593	1.0125364151000973	0.07002164477562083	0.011817091361356447	0.11666376997578318	-0.45883146774112354	-0.37796447300922725
P28482_WT	Fold 5	5.0	-2.77131212116076	0.3162930083874502	0.5623993317807643	0.006675662175196141	0.08170472553773216	0.2915236518859864	-1.7579831103783405	1.238326572418213	0.051945653051904725	0.00855138298753717	-0.9079410788906506	-0.7905694150420948	-0.7559289460184544
P28482_WT	Mean	5.2	-0.9393353672586306	0.3213254599623151	0.5441055629228349	0.006141861752294456	0.07512273762338871	0.3374205950419108	-0.3013060910287135	1.0583240348815919	0.0516893879934181	0.008350110968815725	0.026739482752223865	-0.2174950073935185	-0.22416114436483864
P28482_WT	SD	0.3651483716701107	1.1322269716298092	0.14630813167106743	0.1451280938766968	0.002729122748276698	0.020380465407303518	0.09744532587223258	0.7300640299873199	0.30295511743177883	0.023701884480393454	0.0038792835547666075	0.6096684406312652	0.540314338068022	0.4889569157058584
P28482_WT	Test set	9.0	-0.20794555228648304	0.6391403959136363	0.7994625669245785	0.015291389652402763	0.12365835860305911	0.6423401472303603	0.057199192351977235	1.4443003463745114	0.1130516374727964	0.020085594367192164	0.46732109387358134	-0.18349396085439343	-0.23333333333333334
Q06187_WT	Fold 1	5.0	-1.33168676293637	0.4007456982012867	0.6330447837248853	0.007445861386487254	0.08628940483331227	0.4400845565795898	-0.47124150143461385	1.3298520050048825	0.06525345029418901	0.010649885626985878	-0.6166388756451546	-0.8207826816681234	-0.7378647873726218
Q06187_WT	Fold 2	5.0	0.41049712113778136	1.1359780840769753	1.0658227263841653	0.020375561162814644	0.14274298989027323	0.9398472244262697	0.41053540567458935	1.899577686309815	0.17657119858881173	0.028083595323918242	0.7801092704074395	0.8999999999999998	0.7999999999999999
Q06187_WT	Fold 3	5.0	-0.2728828155495231	0.4903674124748033	0.700262388305129	0.011317451424210461	0.10638351105415943	0.5469133346557618	0.17337581616186226	1.2282214164733887	0.08510274904391509	0.014817100024669561	0.4444114068017425	0.20519567041703085	0.10540925533894596
Q06187_WT	Fold 4	5.0	-25.586180318575032	1.0165555713443097	1.0082438055075318	0.017767867934738547	0.1332961662417136	0.7947751007080079	-24.2134223835896	1.995161148071289	0.14937872601864727	0.022257630212222868	0.16907013980174687	0.39999999999999997	0.39999999999999997
Q06187_WT	Fold 5	4.0	0.12250671528187318	0.5492423517573395	0.7411088663329697	0.009443934382511008	0.09717990729832483	0.6152983093261719	0.256512112971657	1.213255947113037	0.08115173867198155	0.01204068974455752	0.5389870758444506	0.6000000000000001	0.3333333333333334
Q06187_WT	Mean	4.8	-5.331549212128254	0.7185778235709428	0.829696514050936	0.013270135258152382	0.11317839586355667	0.6673837051391602	-4.768848110043221	1.5332136405944825	0.11149157252350891	0.01756978018647081	0.263187803442045	0.25688259774978145	0.18017556025993148
Q06187_WT	SD	0.3651483716701107	9.260641705044554	0.27226992406512984	0.158591503930348	0.004529378727539692	0.01959561957650318	0.16297026240217585	8.879439993157616	0.3120809859846521	0.039635072008750015	0.006035302761126716	0.4395202225011463	0.5347657008059434	0.46625288275994703
Q06187_WT	Test set	14.0	-1.4359671045994173	1.5797942663928537	1.2568986698985936	0.03870688972948045	0.19674066618134758	1.1645110648018975	-0.2479603542489881	1.9835483551025392	0.28053316433174896	0.05027217984372734	-0.08732503720338758	0.13656387665198239	0.09999999999999999
Q16539_WT	Fold 1	5.0	0.666110693451202	0.21368915619123072	0.4622652444119401	0.003634664516505916	0.06028817891183906	0.3798530578613281	0.6989747371569877	0.6557731628417969	0.03171810850963332	0.004739453202312216	0.913857398876427	0.8944271909999159	0.8366600265340755
Q16539_WT	Fold 2	5.0	0.31069498845943133	0.11028880184649097	0.33209757880251245	0.0017845889380436613	0.04224439534475149	0.2716054916381836	0.7717546327595528	0.4996967315673828	0.015881007245212686	0.0022990687547846276	0.8802685912229521	0.7071067811865475	0.6324555320336759
Q16539_WT	Fold 3	5.0	0.16612741146350019	0.4669686495804399	0.6833510441789343	0.007451210690128425	0.08632039556285886	0.48160276412963865	0.17805516309418368	1.1399121284484863	0.0668828403733059	0.009609566734015562	0.4296156807969315	0.21081851067789195	0.22360679774997894
Q16539_WT	Fold 4	5.0	-0.6803745981527145	0.40328990355665156	0.6350511031063969	0.005601355286614815	0.0748422025772546	0.4255857467651367	0.07430551788744821	1.000028133392334	0.05507665998121354	0.007529398512521013	0.4082482904638631	0.408248290463863	0.4082482904638631
Q16539_WT	Fold 5	4.0	-0.16426103533164516	0.511194421305136	0.7149786159775242	0.007956702746868107	0.08920035171941929	0.538387601852417	-0.16192421944621294	1.0125706405639647	0.07255629845077216	0.010324534449145162	-0.46367806020990515	-0.316227766016838	-0.18257418583505539
Q16539_WT	Mean	4.8	0.05965949197795477	0.3410861864959898	0.5655487172954616	0.005285704435632185	0.07057910482322467	0.4194069324493408	0.3122331662903919	0.861596159362793	0.048422982912027526	0.006900404330555716	0.43366238023005366	0.38087460146227603	0.38367929218930763
Q16539_WT	SD	0.3651483716701107	0.4163188191854419	0.14032696614797815	0.13304396159868825	0.002117664882152688	0.01592415350927772	0.08313911415727195	0.33170457479690624	0.22088865437565083	0.019602243426130567	0.002747782758813956	0.4538587301158349	0.38422732006714305	0.3198830525169992
Q16539_WT	Test set	6.0	-4.643299666183019	1.188996212167544	1.0904110290012403	0.014776817603065734	0.12155993420147007	1.0297803052266437	0.38987271224998066	1.7462513351440432	0.15318740439680223	0.019805407215353437	0.6359398810551817	0.4285714285714286	0.4666666666666666
P15056_WT	Fold 1	5.0	-0.04121287036136456	1.4404782734618156	1.2001992640648533	0.024542546951251777	0.15666061072028215	0.942648969268799	-0.017371393219351106	2.363981880187989	0.2237080786315236	0.03504523613574726	0.11044289436610664	0.19999999999999998	0.19999999999999998
P15056_WT	Fold 2	5.0	-1.0962702139920872	1.0894802636806529	1.0437817126586635	0.026052756130308337	0.1614086618812892	0.9442502517700195	0.619274787592881	1.345205547332764	0.1914531560220709	0.033897460311155925	0.8048566054270847	0.6668859288553503	0.5270462766947299
P15056_WT	Fold 3	5.0	-4.950035306665417	1.6643043677460134	1.2900792098727945	0.03382454751746024	0.18391451143795107	1.2370170814514159	0.5206052798356333	1.5475569648742677	0.28750657687902825	0.04989982070674985	0.8650736304786237	0.8999999999999998	0.7999999999999999
P15056_WT	Fold 4	4.0	0.006171072016579959	0.44442638298919357	0.6666531204376033	0.010088243820316319	0.10044025000126353	0.5082943201065064	0.3355059289576291	1.252779483795166	0.0762059238323749	0.013124612858435136	0.6942124572357712	0.632455532033676	0.5477225575051662
P15056_WT	Fold 5	4.0	-9.875358732282987	1.449197967000132	1.2038263857384635	0.030436202204621877	0.17445974379386747	1.1264573526382446	-0.35298147163966376	1.5982855949401857	0.23595158268548966	0.038643180972079194	0.4476139140357223	0.7378647873726218	0.5477225575051662
P15056_WT	Mean	4.6	-3.191341210257055	1.2175774509755615	1.0809079385544755	0.024988859324791706	0.1553767555669307	0.9517335950469971	0.22100662630542572	1.6215618942260748	0.20296506361009747	0.03412206219683347	0.5844399003086618	0.6274412496523296	0.5244982783410125
P15056_WT	SD	0.447213595499958	3.471450489156435	0.39095379982744327	0.2025164177407918	0.0074285748279674995	0.0265663188123293	0.2268229781473298	0.3285760664279078	0.35813853184299793	0.06437656679283567	0.01088710057380034	0.25258112255298415	0.212433784869279	0.1743012516040103
P15056_WT	Test set	21.0	-0.5386145165937033	1.9289281328765793	1.3888585719491309	0.034398213808032624	0.18546755459657255	1.010632645379929	-0.34606515018595885	3.2518385505676264	0.3094270247980425	0.0502724500709824	0.1666323961164038	0.20649350649350648	0.13333333333333333
P49841_WT	Fold 1	7.0	0.249438249995803	1.222371820241213	1.105609252964723	0.02035325440892968	0.14266483241825814	0.8445879571097239	0.2789843189258655	2.3234677009582523	0.1827767510676543	0.027786885985420007	0.5470325481249471	0.7748062179181807	0.5855400437691199
P49841_WT	Fold 2	6.0	-1.2684069479415774	0.9287193895123727	0.9637008817638244	0.019156368313751514	0.13840653277122258	0.678627684911092	-0.14354402535414357	2.0826263427734375	0.14808994373693748	0.023803107675954543	0.39674826765525184	-0.02898855178262242	-0.13801311186847084
P49841_WT	Fold 3	6.0	-0.7750748241028109	1.350237093845629	1.161997028329087	0.029634321269346554	0.172146220607211	1.0530585969289143	-0.41515552505619446	1.701854827880859	0.2263436484248702	0.03829709366295786	0.0031848167151115048	0.14285714285714288	0.06666666666666665
