	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	2386.0	0.5580868838022663	0.5766761352801038	0.7593919510240438	0.009681044424761164	0.09839229860492722	0.5850550396352483	0.5580907710222378	3.2386530303955077	0.08534250524089923	0.012869629926309625	0.7471954159880667	0.7389884235189913	0.5521495578348663
Fold 2	2386.0	0.5290835239907345	0.5958994507988862	0.7719452382124565	0.010139476951766405	0.10069496984341574	0.5913162958060406	0.5291041162704135	4.125247859954834	0.08839520527466496	0.013351988765130055	0.727758810953722	0.7171204506134469	0.5335998625251794
Fold 3	2386.0	0.5381895690667109	0.5952180928427685	0.7715037866678093	0.010145359785653235	0.10072417676830739	0.5943651966229269	0.5383760332927632	3.678794574737548	0.08847355461993749	0.013403166318251707	0.7337438539220892	0.7255218019295192	0.5408222903840122
Fold 4	2386.0	0.539916082670908	0.6003704780274015	0.774835774875813	0.010204279407149684	0.10101623338429168	0.5892300416557906	0.540496293877887	3.3034982681274414	0.08917131401622035	0.01349012019705144	0.7354908750121647	0.7320430354467521	0.5456269961078389
Fold 5	2386.0	0.5041247174057316	0.6128997959969656	0.7828791707517614	0.010340841073051056	0.10168992611390303	0.5997727545604722	0.5042274650164104	3.268769172668457	0.09088583466830033	0.013725140722451765	0.7106991788413499	0.7043979566760964	0.5214825578451358
Mean	2386.0	0.5338801553872703	0.5962127905892252	0.7721111843063768	0.010102200328476309	0.10050352094296902	0.5919478656560957	0.5340589358959423	3.5229925811767577	0.08845368276400448	0.013368009185838917	0.7309776269434785	0.7236143336369611	0.5387362529394065
SD	0.0	0.0160694478603483	0.010634151121191001	0.006898650727338884	0.0002033036005156797	0.0010175978832926977	0.004516061589756408	0.01608349516127575	0.31108465006774494	0.0016387799113679988	0.0002557109688922711	0.010898121666355273	0.010973329405209176	0.00962482158055919
Test set	4011.0	0.1016099565316233	1.2754637515015919	1.1293643130104616	0.021347216959852637	0.14610686828432343	0.8916174349065613	0.1024763011790415	7.199905181884766	0.1890270374822648	0.028459115316205454	0.3682166916351127	0.3666071807669136	0.25160480574545835
