target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Q9Y345_WT	Test set	38.0		-1.3224784064540134	1.3897610550942223	1.1788812726878912	0.027471002424232113	0.16574378547695873	1.0109871104390997	-0.052396439898261926	2.5785741806030273	0.23708453565439028	0.04077047760893902	0.23073938870546673	0.27150361291921055	0.1980058989030115
P31652_WT	Fold 1	327.0		0.5842644033519055	0.6089694923901972	0.7803649738360873	0.009494125467790295	0.09743780307350067	0.573079583229275	0.5843163141208076	3.301703330993652	0.08641932240384838	0.012540388529948978	0.7675294623837807	0.7805614795645321	0.5911387814052603
P31652_WT	Fold 2	327.0		0.7095785962253305	0.4265415702188324	0.6531015007017151	0.006969685148603853	0.08348464019569021	0.49438993996436437	0.709629783871925	2.40941463470459	0.06139300033110122	0.009067129543099663	0.8424054591851222	0.852565219646835	0.6650209153560597
P31652_WT	Fold 3	326.0		0.6330117317290004	0.5373300726316427	0.733028016266529	0.008344593821470719	0.09134874833007138	0.5552788842675144	0.6342816747060033	2.8437435150146486	0.0755316143835824	0.010823663315578302	0.7973505799028626	0.8034661329334035	0.6110410000698111
P31652_WT	Fold 4	326.0		0.6853890356727725	0.47628550785393964	0.6901344128892136	0.0069937544908768735	0.08362867026849628	0.5117820783860844	0.6860953404433521	3.603016380310059	0.06528592398841412	0.009150435847281346	0.8283170686346567	0.8393073390522561	0.6512205182805424
P31652_WT	Fold 5	326.0		0.6005141485546641	0.6042502095249883	0.7773353263071145	0.009297534545624722	0.09642372397716613	0.5685786221159017	0.6040373879628933	4.4074227905273435	0.0838004432001796	0.01187809869677209	0.7778740368839446	0.79102407547682	0.6080543230342041
P31652_WT	Mean	326.4		0.6425515831067347	0.5306753705239201	0.7267928460001319	0.008219938694873292	0.09046471716898494	0.5406218215926281	0.6436721002209962	3.313060130310059	0.07448606086142515	0.010691943186536077	0.8026953213980734	0.8133848493347692	0.6252951076291755
P31652_WT	SD	0.4472135954999579		0.04393786867412627	0.06505077124860024	0.04516201876714326	0.0009888516304709218	0.0054828248808480315	0.028922413855359704	0.04345945849153801	0.6216465371633386	0.009003003055397097	0.0012817520253749235	0.026187366678473142	0.025438932225346367	0.02555173044979545
P31652_WT	Test set	422.0		0.2416633389142293	0.8614652668459686	0.9281515322650545	0.01487071565872397	0.1219455438247908	0.7139721627258013	0.24187801972308143	3.406328964233399	0.1296306392827961	0.019799996036437402	0.5167997647057629	0.535955643201891	0.37635794166923375
P28572_WT	Fold 1	9.0		0.7872629434429878	0.2716650058598648	0.5212149324989306	0.006293923421690214	0.07933425125184086	0.41683284166124135	0.789952066880627	0.9342230224609374	0.04805074913321761	0.008676445167092872	0.8895788646500403	0.9666666666666667	0.8888888888888888
P28572_WT	Fold 2	9.0		0.5059087917953577	0.6796332658931515	0.8243987299196618	0.012164222501298953	0.11029153413249339	0.6799264818827312	0.5265261072998665	1.5206678390502937	0.10598124784575053	0.016915354954235795	0.7280391250743639	0.5188329934285483	0.3098898934004561
P28572_WT	Fold 3	9.0		0.40853646726853876	0.679130973150773	0.8240940317407796	0.015139437663000386	0.12304242220876663	0.6688941870795355	0.4103803081761185	1.5105867767333985	0.1176327826883643	0.02055125044424698	0.6430859785582902	0.2845213189769458	0.253546276418555
P28572_WT	Fold 4	9.0		-0.1305004475770295	0.9541362088513361	0.9767989603041847	0.02205020753993546	0.14849312287084362	0.5915682076348199	-0.0737780871334559	2.6737774276733397	0.15926512197180187	0.026968082598421244	0.19852505218075683	0.2833333333333333	0.2222222222222222
P28572_WT	Fold 5	9.0		0.5766480448584527	0.5999275189706291	0.7745498815251534	0.013727216167085707	0.11716320312745682	0.56494978290134	0.6647655043801435	1.5987545776367185	0.10292556016643634	0.01778050078427033	0.8270073860178809	0.6833333333333333	0.5555555555555556
P28572_WT	Mean	9.0		0.4295711599576615	0.636898594545151	0.784211307197742	0.013875001458602144	0.11566490671828027	0.5844343002319337	0.46356917992065994	1.6476019287109374	0.10677109236111412	0.018178326789653445	0.6572472812962664	0.5473375291477656	0.4460205672971355
P28572_WT	SD	0.0		0.27973949784952923	0.1995878940056485	0.135127162974855	0.004634187140555697	0.020343525023408755	0.08638384996456347	0.271581929341572	0.5162714236474121	0.032498949066478974	0.0053995322575983145	0.22302263297111286	0.23590777457203144	0.22868970105265465
P28572_WT	Test set	57.0		-0.12791143247898562	1.4043428428896028	1.1850497216950868	0.023788555448069723	0.15423538973941656	0.9808112159193608	0.12669419380423685	3.3344321441650386	0.21657247788067668	0.03389661369069351	0.4005438528003073	0.4026298804533795	0.2821129910838995
P48067_WT	Fold 1	95.0		0.33290679316017024	0.6627366457371229	0.8140863871464274	0.011121440466667257	0.10545824039242858	0.6246832082246478	0.3347912458575192	2.468190002441406	0.09828204820083868	0.014756920920539353	0.6157448350280704	0.5877762419755089	0.41680678809670074
P48067_WT	Fold 2	94.0		0.5405159738659118	0.6214481345853801	0.7883198174506207	0.010641890092027343	0.10315953708711252	0.589214714009711	0.5455855313675977	2.4274667243957513	0.09211043518892	0.013932112626505738	0.7402003964474131	0.7478948795584616	0.5590020372854094
