target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31648_WT	Fold 4	8.0		0.612478178204469	0.1457122194789922	0.38172269971668205	0.003906088454880623	0.06249870762568313	0.28653886222839353	0.7118553870534663	0.7423108100891112	0.02794284913545475	0.00538841736047313	0.8935915004377526	1.0	0.9999999999999998
P31648_WT	Fold 5	8.0		-0.13979002508000637	0.9677882304233938	0.9837622834930163	0.022500562448031437	0.15000187481505503	0.5838102011680603	0.23705268524543277	2.627956447601318	0.16184304296212315	0.027447147079774414	0.6201509960330788	0.6428571428571429	0.6428571428571428
P31648_WT	Mean	8.2		-0.17203745998849315	0.7191906980290819	0.7836249759825471	0.017279273538948488	0.12284926847407622	0.5287622330559624	0.04579605984919677	1.8172214225769043	0.12965666989033348	0.023759343463325953	0.5612649533146912	0.6071428571428571	0.5777777777777777
P31648_WT	SD	0.3651483716701108		0.5995494640935155	0.4496799531974124	0.2959766249855925	0.010257230137151336	0.04269397668614812	0.2096246076547639	0.4548837044518602	0.7324734594861242	0.08210915154959593	0.015384989254557186	0.19410613605314722	0.19753775340720067	0.2092490582734913
P31648_WT	Test set	200.0		-0.05553888993888889	0.7730714717693542	0.8792448303910317	0.01888591509371906	0.13742603499235165	0.6794172563362122	0.019501743707133534	3.0290236282348637	0.13980793801077568	0.025612878802436255	0.42919762997726774	0.39431046607475856	0.26551794474101104
Q63380_WT	Fold 1	34.0		0.21794618076961014	1.080828838360837	1.039629183103686	0.018068153210979397	0.13441783070329397	0.7229223184024586	0.27628413481705605	3.3875223159790036	0.16549060587822606	0.025795749309545563	0.5434560471798646	0.625257851927944	0.49241768031513306
Q63380_WT	Fold 2	34.0		0.2668090919195596	0.9288354811978784	0.9637611121008558	0.014630901150195892	0.1209582620170937	0.677567766974954	0.2669138447554654	3.1573358726501457	0.13410431600818729	0.019641320850796656	0.5273742628238507	0.6204156551655557	0.43750069754631116
Q63380_WT	Fold 3	33.0		0.6915849386706954	0.33190117638138317	0.5761086498060788	0.006033741431273121	0.07767716158095068	0.42790213694716944	0.6917797327718705	1.5526362228393555	0.05170034537616659	0.008202066957828396	0.8326777889839774	0.8533467064138182	0.6729860843135759
Q63380_WT	Fold 4	33.0		0.3113059980003534	0.5878878776906036	0.76673846759544	0.011769088209119417	0.10848542855664726	0.5187162497549346	0.33030558013932243	2.5016357421875	0.09366081474825094	0.015086143431610447	0.623388795677433	0.556075555151479	0.40986791056799887
Q63380_WT	Fold 5	33.0		0.5692165968362162	0.646336845123654	0.803950772823594	0.013714132502776586	0.11710735460583416	0.5895814304929791	0.5900802641085021	2.1288074951171874	0.10583575423420408	0.01794599951146755	0.772642759607322	0.8281798544561402	0.6223920123439983
Q63380_WT	Mean	33.4		0.41137256123928695	0.7151580437508712	0.8300376370859308	0.012843203300868883	0.11172920749276397	0.5873379805144991	0.4310727113184433	2.5455875297546386	0.11015836724900699	0.017334256012249725	0.6599079308544896	0.6966551246229874	0.5270328770174035
Q63380_WT	SD	0.4472135954999579		0.16919387027957708	0.24055250855754684	0.14774856110883042	0.0036234646638769745	0.017315395218989907	0.09717534860539973	0.16037103047414697	0.6116480297929489	0.03498394783510137	0.005255862349148783	0.11181713278020643	0.10994214309204647	0.09428463623247972
Q63380_WT	Test set	29.0		-0.36907106616052854	1.1857638652961835	1.0889278512813343	0.020425584756801732	0.1429181050700076	0.8409662884679335	-0.2600866079437474	2.6411180114746102	0.1833503374244252	0.028540134249062207	-0.067059921564709	-0.18502094111850212	-0.11358024691358025
Q9Y345_WT	Fold 1	22.0		0.6343211121906114	0.19222850320892412	0.43843871089232545	0.004367907568355341	0.06609014728653084	0.35503094655817197	0.6386991125064011	1.0905150871276854	0.03361214850350387	0.006021339393896334	0.8039290909614538	0.8238283455674761	0.6363636363636364
Q9Y345_WT	Fold 2	22.0		0.6140106781785108	0.14802920889199309	0.38474564181026544	0.0038573518345860537	0.062107582746280296	0.31726595497131344	0.6202480484454034	0.902487922668457	0.028556174815217276	0.005553179404016673	0.8226950161351233	0.6308952524948703	0.4685477401016635
Q9Y345_WT	Fold 3	22.0		0.49384648474251425	0.2560862261667154	0.5060496281657713	0.005413376391710616	0.07357565080725155	0.3396119495738637	0.5471313015954744	1.3426266632080077	0.04420208780516328	0.0077488936716721265	0.7397281768168178	0.7929378531073448	0.6130434782608695
Q9Y345_WT	Fold 4	21.0		0.7286238206015682	0.201894192850412	0.449326376757933	0.004677382158151237	0.0683913895030013	0.36743644896007716	0.7352534876145109	1.0700922813415525	0.035775573332363496	0.006452134961061636	0.8646380666543405	0.8450796158599574	0.6634863764939859
Q9Y345_WT	Fold 5	21.0		0.5606099155917486	0.15906416041959512	0.3988284849651478	0.004360229419969703	0.0660320332866534	0.2928082302638463	0.7242750832377427	0.8944186782836914	0.0308155352069251	0.005996068873921091	0.8523332063469707	0.730994306361308	0.5933082268219884
Q9Y345_WT	Mean	21.6		0.6062824022609907	0.19146045830752795	0.4354777685182885	0.00453524947455459	0.06723936072594347	0.3344307060654545	0.6531214066799065	1.0600281265258789	0.034592303932634606	0.006354323260913572	0.8166647113829413	0.7647470746781913	0.5949498916084287
Q9Y345_WT	SD	0.4472135954999579		0.07134555549288811	0.03469326573344745	0.03893981931412227	0.00046717040533630726	0.0034299955929320003	0.024384603847019404	0.0636803044289672	0.14896200863099865	0.004922865255518241	0.0006874408702070177	0.040190121719488055	0.07046771530507592	0.06153579562861135
Q9Y345_WT	Test set	38.0		-0.8384161773871368	1.1001003063312762	1.048856666247241	0.021333307671076558	0.1460592608192872	0.8896959458401329	0.2968386522546651	2.227810859680176	0.18478304751180974	0.03127828097455624	0.5448359812494747	0.5612959753413872	0.43968605062003396
P31652_WT	Fold 1	327.0		0.6132166282817866	0.566560273980063	0.752701982181569	0.00885851740079219	0.09411969719879144	0.5405087161399538	0.6137752443248721	4.210383769989013	0.08092074162145588	0.01185405703509391	0.7890255677627332	0.8050426836152464	0.614906739523184
P31652_WT	Fold 2	327.0		0.6596011775836811	0.49994334552129177	0.7070667192855932	0.008033948476332235	0.08963229594477783	0.5232421508695737	0.659817630291999	2.7066751441955574	0.07139233345208283	0.010452544480629572	0.8140323977715078	0.8290602052936906	0.63411765382544
P31652_WT	Fold 3	326.0		0.6202655972471334	0.5559924712940892	0.7456490268846927	0.008823564158243253	0.09393382861484595	0.5526550551689475	0.6202683157782467	3.555409622192383	0.07933603850439964	0.011615188537745482	0.7893548053135322	0.8107202451304912	0.6194409752398637
P31652_WT	Fold 4	326.0		0.6766047685388419	0.4895838973171156	0.6997027206729409	0.0072347150745708235	0.0850571282995777	0.511954279729925	0.677211555456289	2.877415660858155	0.06690868419616829	0.0093642202214013	0.8247591417182194	0.8354907226389452	0.6457422033586802
P31652_WT	Fold 5	326.0		0.6633807987032125	0.5091600170013802	0.7135544947664335	0.007966788824176256	0.08925686989905178	0.5449310173139982	0.6638620582176519	3.3867734718322753	0.07130537093692976	0.010275637631319152	0.814795755580791	0.837560976314477	0.644361873398811
P31652_WT	Mean	326.4		0.646613794070931	0.5242480010227879	0.7237349887582459	0.00818350678682295	0.09039996399140895	0.5346582438444797	0.6469869608138118	3.3473315338134766	0.07397263374220728	0.010712329581237882	0.8063935336293568	0.8235749665985701	0.6317138890691958
P31652_WT	SD	0.4472135954999579		0.022945084015950867	0.02833726481217137	0.019486471159278998	0.0005529998258724092	0.0030758870231363	0.013598040814833894	0.023021096185990915	0.4866506030886571	0.004842759843198949	0.00083609039363132	0.013280371735144706	0.012085603901098616	0.01151555385941351
P31652_WT	Test set	422.0		0.20417697619756037	0.9040495188252455	0.9508151864717168	0.015535927329183718	0.12464320009203758	0.7632646735584566	0.2661751109546745	2.7265435600280767	0.13319138854453696	0.020004726285145914	0.5895282497253309	0.5934628906632352	0.4093955743914801
P28572_WT	Fold 1	9.0		0.46809335169839383	0.6792442514077542	0.824162757838374	0.015534746840975337	0.1246384645323238	0.5887409290737576	0.4735758127538491	1.761097579956055	0.12118032699427969	0.021848370707997205	0.6939020893868966	0.5166666666666667	0.3888888888888889
P28572_WT	Fold 2	9.0		0.2847075901767824	0.9839003578371474	0.991917515641874	0.016980705703699934	0.1303100368494305	0.7729080793592665	0.28476615123212845	2.070977497100831	0.14913625010843923	0.022928251049062463	0.5355772678763477	0.4686233489032049	0.3098898934004561
P28572_WT	Fold 3	9.0		0.5175359987526755	0.5539753992340812	0.7442952366057983	0.012115346389040296	0.11006973420991029	0.6185140948825413	0.5241965993098587	1.422998638153076	0.09639101931583266	0.016944994306237318	0.7243722868933509	0.36820405985251814	0.3098898934004561
P28572_WT	Fold 4	9.0		0.7204920694556043	0.23590316816335516	0.4856986392438784	0.0060134229485267286	0.07754626327894032	0.3573813815646702	0.7297095605881543	0.9663976097106932	0.04399243863594412	0.008311487693481358	0.865826943182179	0.7615129419677079	0.5916079783099616
P28572_WT	Fold 5	9.0		0.5085967549962658	0.6963622725933514	0.8344832368558109	0.014565034680511608	0.12068568548304148	0.7699557592603894	0.7352381514838187	1.3493576431274414	0.11412323595362632	0.01899335255178864	0.8587119343497719	0.6333333333333333	0.5
P28572_WT	Mean	9.0		0.4998851530159444	0.6298770898471379	0.7761114772371471	0.013041851312550779	0.11265003687072928	0.621500048828125	0.5494972550735618	1.5141657936096193	0.1049646542016244	0.017805291261713395	0.7356781043377092	0.5496680701446862	0.42005533079995255
P28572_WT	SD	0.0		0.12673263071371726	0.2210453905304274	0.1514597436832396	0.003519147771934127	0.017122609457822017	0.1389269807694778	0.15463015099760527	0.3431563638353873	0.03185664722608704	0.004741221977938286	0.11104762136563538	0.1241401442497434	0.1008841375848543
P28572_WT	Test set	57.0		-1.1421547130888348	2.667159453359459	1.6331440393790926	0.045890306401395624	0.21422022873994795	1.3761924204910012	-0.4036317793837616	2.9408690452575676	0.41772588193359145	0.06636259330425202	-0.037894965908081266	-0.22787418621982417	-0.15871142586673373
P48067_WT	Fold 1	95.0		0.40068609414674417	0.59539998854188	0.7716216615297162	0.010077982366471944	0.10038915462574602	0.6024129403365285	0.4040522345865911	2.0854070663452147	0.08771537969769397	0.01308287840239117	0.656340596398495	0.6467708352549989	0.4692437711153179
P48067_WT	Fold 2	94.0		0.38546804287760994	0.831149107859007	0.9116737946541005	0.014927294575872425	0.12217730794166495	0.6686579882439146	0.42134772363584083	2.603349208831787	0.12392212968097067	0.018847091736151737	0.6517020859465295	0.6336467707173915	0.47761880321171635
P48067_WT	Fold 3	94.0		0.30220432484685167	0.653978337514928	0.8086892712995072	0.011588087788032695	0.10764798088228453	0.5800402662804787	0.3053785776495971	3.0490192031860355	0.09829775648984729	0.015025576112693447	0.5966952454885457	0.5915729546559086	0.44190047308191255
P48067_WT	Fold 4	94.0		0.2966750259546448	0.5952034476819249	0.77149429530096	0.011117143530049759	0.10543786573167041	0.5686590308331428	0.3037798450366287	2.821991367340088	0.09201935210966147	0.014472540310301084	0.5869786275669427	0.5826921272076959	0.42431885441763906
P48067_WT	Fold 5	94.0		0.5985268244728809	0.43036337788701684	0.6560208669600509	0.007380955212014348	0.08591248577485316	0.478994752599838	0.599006118974364	2.557561187744141	0.06401887768380511	0.009707688171698321	0.7840054912074146	0.7697809766245778	0.5957401982648013
P48067_WT	Mean	94.2		0.3967120624597462	0.6212188518969514	0.783899977948867	0.011018292694488233	0.10431295899124382	0.5797529956587806	0.40671289997660437	2.623465606689453	0.09319469913239571	0.014227154946647152	0.6551444093215855	0.6448927328921146	0.4817644200182774
P48067_WT	SD	0.3651483716701107		0.09984199201076137	0.11755362123106804	0.0748313463102039	0.0022259507751133845	0.01068875113453859	0.055816593894123266	0.09837157275446733	0.2929059564290641	0.01757293905318785	0.0027011249204021465	0.06413701145923323	0.06115415828729695	0.054853681260667406
P48067_WT	Test set	206.0		-0.031829528221171355	1.579255735904253	1.2566844217639737	0.024052269703612815	0.1550879418382126	0.9849202992337421	-0.01884534899665158	4.19145092010498	0.21744968547059532	0.030449296242832855	0.21392458855038882	0.2229958450987742	0.1546096451717357
Q9WTR4_WT	Fold 1	81.0		0.5740622851643888	0.39388556771779787	0.6276030335473195	0.00693282002706865	0.08326355761717517	0.5098623966169946	0.6118725797977477	1.4424842071533206	0.05920959228698828	0.008995963967687258	0.7885527549330826	0.7420147156999625	0.5595924413976787
Q9WTR4_WT	Fold 2	81.0		0.2454490348486712	0.8787013549440299	0.937390716267251	0.015881991424359414	0.12602377325076175	0.709847535121588	0.3135559882553929	2.986062145233154	0.1305066283510745	0.019819595205631108	0.6023448171224881	0.5717415240964967	0.4148263785055203
Q9WTR4_WT	Fold 3	81.0		0.6188956359774107	0.3643600788082427	0.603622463803529	0.00602994458014057	0.07765271778978872	0.44368961353066527	0.6267946064843448	2.4254083061218257	0.05383379572001234	0.008073037863956368	0.7917036164201997	0.7776880663725593	0.6072985096298814
Q9WTR4_WT	Fold 4	80.0		0.4146265563446099	0.5281463392053514	0.7267367743587436	0.00892368199116541	0.0944652422384308	0.5566894894123078	0.4200543613870491	2.2125331497192384	0.0776872730368443	0.011648960730855423	0.6855573178557098	0.6896713402488376	0.5025352578752039
