target	index	number	error	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
P31648_WT	Test set	73.0		0.7451437056172058	0.17838033751819124	0.42235096486002166	0.0045325616710997	0.06732430223254973	0.31126410455573095	0.7490839756618739	1.1168103218078613	0.03350589160727555	0.006444148882967703	0.8670088248876467	0.7207904917134044	0.5444851479169174
Q63380_WT	Fold 1	28.0		0.630305166835239	0.4096703032835016	0.6400549220836456	0.009424925787899026	0.09708205698222008	0.4819682232992989	0.6395724978925865	1.5675469779968259	0.07109715145041624	0.012578383796838606	0.8148180558287633	0.7808950394737543	0.6172190844430991
Q63380_WT	Fold 2	28.0		0.1692374905641323	0.9889187134194476	0.9944439217067232	0.017876028762520434	0.13370126686954178	0.673640558379037	0.1730944915607795	2.6265107345581047	0.1522697769974069	0.02399441336654668	0.4903242660140631	0.4926108374384236	0.38095238095238093
Q63380_WT	Fold 3	27.0		0.390444316938624	0.7549159000245059	0.8688589644036055	0.013528852665709558	0.11631359622034544	0.6437522923504865	0.3919527563821219	2.0729914474487305	0.11508517588780706	0.017852310242723327	0.6311218051401268	0.6404151404151404	0.4871794871794872
Q63380_WT	Fold 4	27.0		0.22161535148261668	0.9508348064277079	0.9751075871039605	0.016416023818480167	0.12812503197455277	0.6578052174603498	0.22594890907923904	2.748659229278564	0.1426619636045006	0.021807426837417813	0.5659059418880904	0.6247328535508592	0.48285911371469037
Q63380_WT	Fold 5	27.0		0.35440523420049697	0.7331999351202234	0.8562709472592326	0.013803733356803837	0.1174892903919495	0.6246224118691904	0.37793239806185386	2.9194947814941408	0.11938477203759595	0.019898429235848416	0.6361962299637458	0.6526251526251526	0.5042735042735044
Q63380_WT	Mean	27.4		0.35320151200422184	0.7675079316550772	0.8669472685114334	0.014209912878282605	0.11854224848772192	0.6163577406716725	0.36170021059531615	2.387040634155273	0.12009976799554534	0.019226192695874972	0.6276732597669579	0.638255804700666	0.4944967141126324
Q63380_WT	SD	0.4472135954999579		0.14681768161705558	0.18797820949107558	0.11514615811958918	0.0026404626308368945	0.011461828015845894	0.06308529037198886	0.14854418063334549	0.45493920848453767	0.025725719722269027	0.0035574221981782427	0.09813906444603893	0.08361859729726663	0.0686023043237828
Q63380_WT	Test set	59.0		0.46603352193874614	0.6284892893537416	0.7927731638708146	0.011000589891921502	0.1048836969787083	0.604489390421722	0.49109759270608666	2.9304746246337885	0.09740036315569509	0.01535702502482433	0.7074944194580965	0.6944602786466587	0.4935604803075328
Q9Y345_WT	Fold 1	21.0		0.7978414104440402	0.12412266845448959	0.35231047167873053	0.0029641903520192226	0.05444437851623639	0.28487257494245255	0.7985348213319927	0.8299221229553222	0.02256165242134957	0.004203029067905098	0.905627826517655	0.752192309889186	0.606206977084433
Q9Y345_WT	Fold 2	21.0		0.23619867992430088	0.5157437684279096	0.7181530257736923	0.01103618097741831	0.10505322925744982	0.6240327402750652	0.23628830384573152	1.5494531059265135	0.08891527420734964	0.015505854360299224	0.5587479583547078	0.5100714749837556	0.34449760765550236
Q9Y345_WT	Fold 3	20.0		0.6734123776462422	0.2566854739039091	0.5066413661594453	0.00617206382313501	0.07856248356012563	0.39761562690734864	0.7710757196282563	1.1010078887939452	0.045892011436095184	0.00838253852817894	0.8799426752550334	0.8765070181034927	0.7055926321659297
Q9Y345_WT	Fold 4	20.0		0.6319489102864527	0.31974062638701817	0.5654561224242056	0.00653701991824948	0.08085183930034913	0.4626421621322631	0.6327850931527054	1.1454268417358398	0.05334916907648317	0.009124588829037262	0.8165677161550398	0.840362398800256	0.663150970080761
Q9Y345_WT	Fold 5	20.0		0.8531501903404695	0.11298017718640581	0.3361252403292645	0.0023473864776624802	0.048449834650517436	0.2415608354568481	0.8688340367385307	0.9294336509704593	0.0191431684434753	0.003321953948467926	0.9366978377617732	0.8875517739359867	0.7335117881143433
Q9Y345_WT	Mean	20.4		0.638510313728301	0.26585454287194643	0.4957372452730676	0.0058113683096969	0.07347235305693568	0.40214478794279557	0.6615035949394433	1.111048722076416	0.04597225511695058	0.008107592946777691	0.8195168028088418	0.7733369951425354	0.6105919950201939
Q9Y345_WT	SD	0.4472135954999579		0.19772562293391557	0.1347163085777758	0.12941897890513337	0.002830221763352995	0.01855580874851805	0.12413345420132847	0.20631784368495476	0.22564621128716872	0.02297239066617858	0.003957947855189743	0.1243696618738799	0.12776104380640835	0.12762072312201037
Q9Y345_WT	Test set	44.0		0.797347735910171	0.16453276054733082	0.4056263804874269	0.003699043874633605	0.06081976549308296	0.3120660613666881	0.7974841820368389	1.3202434921264645	0.028609146860632106	0.005072013078765864	0.8935471670098694	0.9028825168663249	0.7449739620806645
P31652_WT	Fold 1	288.0		0.6676913949395548	0.467564990351498	0.6837872405591509	0.007954503081400825	0.08918802095237244	0.5052895306812393	0.6677815284318578	2.917159223556519	0.06979478193344402	0.010797514513241062	0.8183860125755876	0.8335679768804346	0.6447099629794613
P31652_WT	Fold 2	288.0		0.672480620213521	0.49445865735086947	0.7031775432640532	0.008250759276557199	0.09083369020664744	0.5299548885557387	0.6729195920291806	3.099238758087158	0.07181695807340621	0.010671910741072658	0.8211996957006742	0.8286897231895443	0.6384155345618333
P31652_WT	Fold 3	287.0		0.6155348883980329	0.5128756639202926	0.716153380163979	0.008286691426058129	0.09103126620045515	0.5512269828078639	0.6161986735071038	2.221912021636963	0.07360531404886779	0.010795077912569178	0.7891015535666206	0.7943534586339629	0.5976032181461373
P31652_WT	Fold 4	287.0		0.5987407804475748	0.540390886422106	0.7351128392444972	0.008891251590690218	0.09429343344417053	0.5616316443253893	0.6080588804900338	2.530150886535644	0.07812039419543221	0.011526498339972688	0.7810844977431308	0.7871709616794843	0.5970129407842844
P31652_WT	Fold 5	287.0		0.5863704894524138	0.666183540259083	0.8162006740128821	0.010293942990843588	0.10145907052030187	0.6030408537994278	0.588800559337369	2.7868483543396003	0.09455431795543255	0.013719533145012263	0.7717947783830396	0.7716917432377319	0.5821468343121161
P31652_WT	Mean	287.4		0.6281636346902194	0.5362947476607698	0.7308863354489125	0.00873542967310999	0.09336109626478947	0.5502287800339317	0.630751846759109	2.711061848831177	0.07757835324131655	0.01150210693037357	0.7963133075938107	0.8030947727242316	0.6119776981567664
P31652_WT	SD	0.4472135954999579		0.032399319976829995	0.06312734255831985	0.0418321279523846	0.0007636929990569593	0.003993262799881642	0.029862751788508776	0.03064852403210869	0.2801479861573783	0.008144935884555725	0.001049058321961252	0.018219133433903544	0.021984260475815233	0.02269658722772877
P31652_WT	Test set	617.0		0.6510239612588651	0.5207632048475649	0.7216392484112577	0.008114727266166261	0.09008178098908937	0.5226742343933501	0.6510682112181283	3.541919712066651	0.07348250058396968	0.010632160487914072	0.8086686366346917	0.824491186337632	0.6404494533193756
P28572_WT	Fold 1	15.0		0.36543156567998303	1.0694595715462178	1.034146784332968	0.0209655438211624	0.1447948335444411	0.8623824798583984	0.39966875546694236	2.179644393920899	0.1702439056510491	0.027673684490012018	0.6522225278373391	0.7470959194129462	0.535891301645667
P28572_WT	Fold 2	14.0		0.4627861400392064	0.48202525520477596	0.6942803865908758	0.009463285720930775	0.09727942085009951	0.5277438986642019	0.4657127609568198	1.6316697311401365	0.07972354571426761	0.013356635377865292	0.782364879174073	0.635863971133406	0.4198959112834707
P28572_WT	Fold 3	14.0		0.3956822371239982	1.1597467768042897	1.0769153990933038	0.027680136269739593	0.16637348427480741	0.6593049861363002	0.5797008623968942	2.638366069793701	0.19668460203507113	0.03379084595176037	0.7635649866208283	0.6996703903820868	0.5303948353054367
P28572_WT	Fold 4	14.0		-0.30343777256549287	0.5603688930843134	0.7485779138368386	0.011358794612201564	0.10657764593103736	0.6351056935446603	-0.16340188262166677	1.6706567192077637	0.09075507278883231	0.014840536345507463	0.4155335330819413	-0.17362637362637365	-0.14285714285714285
P28572_WT	Fold 5	14.0		0.6971902031738955	0.3238986266981358	0.5691209244950811	0.005012013329959159	0.07079557422578871	0.4374689001355854	0.7680998832465651	1.0721124649047855	0.046047157317918544	0.006649998166966986	0.8939558223467574	0.8502223268047072	0.7000432138778694
P28572_WT	Mean	14.2		0.32353047469031804	0.7190998246675466	0.8246082816698135	0.014895954750798695	0.11716419176523482	0.6244011916678293	0.4099560758891109	1.8384898757934571	0.11669085670142773	0.019262340066422426	0.7015283498121878	0.5518452468213545	0.40867362385106015
P28572_WT	SD	0.3651483716701108		0.30524975957883416	0.3040026139317403	0.1805570234697435	0.00752764794205404	0.03120505993689138	0.13054645958805622	0.2854920503195378	0.48553496399529	0.05211638829849047	0.00908596960956886	0.14811905135679848	0.33723685993321495	0.2646408746505089
P28572_WT	Test set	31.0		0.6315131517584317	0.504963572995244	0.7106078897642806	0.009970810314529082	0.09985394491220205	0.5572155461465159	0.6322247306320427	1.5519696998596189	0.0820578783315765	0.013530851203382982	0.7970914746382891	0.6936882577016242	0.5193977579666159
P48067_WT	Fold 1	95.0		0.40809907649656674	0.8356684773262464	0.9141490454659166	0.014943728036663429	0.12224454195040133	0.6586952498185008	0.4143559252867004	3.0303835487365722	0.1288462976703062	0.020268867224572263	0.6535437810099338	0.6709967772469793	0.4985990655268961
P48067_WT	Fold 2	95.0		0.3060257101763555	0.653609602135244	0.8084612558034207	0.011314481513167276	0.10636955162623972	0.5894690416436446	0.3069756478810356	2.7177696418762203	0.09823010387008096	0.01495750103313067	0.6147238055450942	0.6132054347375313	0.4597962453317905
P48067_WT	Fold 3	95.0		0.5436237256529777	0.5869621569408465	0.7661345553757816	0.00894153789932105	0.09455970547395465	0.548426477612947	0.5439213743435776	2.538757438659667	0.08128467959492348	0.011485775944737955	0.7387639238367195	0.7483989727077927	0.5676827818282021
P48067_WT	Fold 4	94.0		0.3420165828287022	0.9689481816874321	0.9843516555009354	0.016688184442476797	0.12918275597956871	0.7215998372828708	0.36539812261571303	3.5146506690979002	0.1394851575914972	0.02050280834396317	0.6156509977930412	0.6360808772371906	0.4659263805474726
P48067_WT	Fold 5	94.0		0.39615748988131005	0.7928258507970933	0.8904076879705686	0.013180186355351191	0.1148049927283269	0.6899403313981726	0.4336117115504261	2.39073787689209	0.11415689915141769	0.016837626269684193	0.6750532651774277	0.6235437343670708	0.4499658402340616
P48067_WT	Mean	94.6		0.39918451700718244	0.7676028537773726	0.8727008400233245	0.013013623649395947	0.11343230955169825	0.6416261875512271	0.41285255633549056	2.8384598350524897	0.1124006275756451	0.016810515763217654	0.6595471546724433	0.6584451592593129	0.48839406269368457
P48067_WT	SD	0.447213595499958		0.07404734211605493	0.12344674461246749	0.07068767926565059	0.0024740119057205462	0.01105798350980157	0.05834944706329192	0.07196536287341765	0.36489983942465315	0.01904434422481217	0.0030924766783293448	0.041808654787663345	0.04474769065309914	0.039136945982690054
P48067_WT	Test set	204.0		0.5539997182841649	0.5336302245357625	0.730499982570679	0.009122382817745314	0.09551116593228938	0.547292480693144	0.561143757325982	3.3293652343750004	0.07795311081624198	0.011663420555015732	0.7602661516967666	0.7336316624530659	0.5636789096235675
Q9WTR4_WT	Fold 1	62.0		0.5160157207788807	0.481675884724769	0.6940287347976084	0.007786028591624832	0.08823847568733739	0.5447478578013758	0.5257492674508736	1.7537180137634278	0.06929244193590055	0.010063505799325044	0.7306968012890301	0.6808296380067548	0.49323996640339396
