	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	5200.0	0.6285094620222195	0.5342124854991581	0.7308984098348813	0.008302592425926902	0.09111856246631035	0.5624251333368742	0.6285375610154647	4.3082092666625975	0.07493528450890752	0.010718797014203139	0.7930189714360993	0.785428983749332	0.5958382498630046
Fold 2	5200.0	0.6203101174547085	0.547957910013287	0.7402417915879156	0.008556754794908812	0.09250272858088464	0.5751199065168088	0.6208933814988731	3.7838626251220706	0.07706790385385925	0.011060386975309214	0.7883854042475335	0.7798265945770295	0.5878861963571453
Fold 3	5199.0	0.626223510735031	0.5434415313475335	0.7371848691797286	0.008423849543155323	0.09178153160170799	0.5695170673870036	0.6262382535887622	3.4535005569458015	0.07640760582125755	0.01095112155131026	0.7913811740892231	0.7792865572189712	0.5904449607672689
Fold 4	5199.0	0.6198409735906676	0.5488467073110778	0.7408418908991835	0.008490117412482706	0.09214183312959812	0.5690247974971736	0.6198410268048553	3.8738594017028802	0.07710529896578314	0.011036515491234552	0.7875513398281815	0.7758185090355373	0.5859698661845539
Fold 5	5199.0	0.6141767126260914	0.5819057221028875	0.7628274523789029	0.00902607904076371	0.09500567899217241	0.5877356206523751	0.6141782080277008	4.060683094024657	0.08165474765635812	0.01168647823209596	0.7840162946878664	0.7732510145870354	0.584622051033724
Mean	5199.4	0.6218121552857436	0.5512728712547889	0.7423988827761223	0.008559878643447491	0.0925100669541347	0.572764505078047	0.6219376861871312	3.896022988891602	0.07743416816123311	0.011090659852830625	0.7888706368577807	0.7787223318335811	0.5889522648411394
SD	0.447213595499958	0.004632415387824199	0.014762754019661437	0.009864503178656456	0.0002261707732686236	0.001213176130729056	0.007757964615234934	0.004614276430809071	0.26009861987918753	0.0020556363779844363	0.0002934281594132039	0.0028592571938966358	0.0037613035343685456	0.003615404224208194
Test set	15485.0	0.1764977182332006	1.148239567734372	1.071559409334999	0.018730958570035358	0.13686109224332296	0.8577233763118618	0.18438648623592213	4.728304347991944	0.1649863494539113	0.024076597585825664	0.45270606658501034	0.4346474143232042	0.30047954826197293
