	number	R2	MSE	RMSE	MSLE	RMSLE	MAE	Explained Variance	Max Error	Mean Poisson Distrib	Mean Gamma Distrib	Pearson r	Spearman r	Kendall tau
Fold 1	726.0	0.7729526548548844	0.4027188219128534	0.634601309416277	0.006862290875201137	0.08283894540130951	0.47874005432233996	0.7749699741559799	2.447645034790039	0.05935591430683541	0.008987373667094584	0.8803312531189682	0.8742208170157841	0.6952546180156157
Fold 2	726.0	0.6978731836999291	0.5132712656552445	0.7164295259516071	0.008680025290540173	0.09316665331834224	0.5369684514894301	0.7006807463926663	3.5045194473266603	0.07493307602991263	0.011203481372036313	0.8373540089330709	0.8159972946797233	0.6359405358536395
Fold 3	726.0	0.709060098267157	0.5046884342641607	0.7104142694682876	0.008247222599060517	0.09081422024694434	0.5339332140115997	0.7092468710804558	3.4875381851196288	0.07300063821603418	0.010809449835053652	0.8422484543622556	0.8283796128433721	0.6472884434496462
Fold 4	726.0	0.7064946153770538	0.5017111036959089	0.7083156808202885	0.008495581452556791	0.09217147851996729	0.5221607590273392	0.708448054334035	3.589914207458496	0.07319521223885625	0.010944940954394366	0.842650269311376	0.8341432563680625	0.655314336011101
Fold 5	725.0	0.768045908128035	0.42687543940794465	0.6533570535380671	0.007228656532342695	0.0850215062930709	0.5011345948475805	0.7680486667060223	2.5814350242614754	0.06300936423869487	0.009564922140742983	0.8763839587828386	0.8661627948419107	0.6859687199784176
Mean	725.8	0.7308852920654119	0.4698530129872224	0.6846235678389054	0.007902755349940263	0.08880256075592688	0.5145874147396579	0.7322788625338319	3.1222103797912597	0.06869884100606667	0.01030203359386438	0.8557935889017019	0.8437807551497706	0.663953330661684
SD	0.3651483716701107	0.02975348128257866	0.041768530071217065	0.030870473308514185	0.0006597000042065545	0.003748394448536332	0.019993907034821196	0.029435893326249497	0.4556767656840015	0.005733656846855554	0.0007911039997154292	0.01694252994707902	0.02053269875908227	0.02082272526232297
Test set	1149.0	-0.09247374804760078	1.6848056917774827	1.2980006516860778	0.029091752852672893	0.17056304656247465	1.0311486970322146	-0.02405939923089817	3.693758487701416	0.2572246136343918	0.04010781543223263	0.31480920229777043	0.31067758514925176	0.21072690003928166
